Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-1,0,7,27,40,-2,6,-4
-3,-4,-3,-3,-24,-6,-5,-6
-3,2,16,-5,-21,16,-1,-2
2,3,17,5,9,4,-4,0
-9,-28,-81,-17,20,-13,-7,-10
3,12,15,18,17,5,9,0
-6,-4,-10,-9,-6,-3,-17,-9
15,14,15,9,2,7,8,12
-6,-12,-8,-4,-9,-24,-8,-9
-2,3,-4,0,7,27,1,-3
2,10,3,-9,-18,-19,-1,1
-6,-5,-4,-3,0,4,-5,-5
1,11,8,0,-2,-1,1,0
4,7,4,0,22,1,4,3
2,7,-7,1,-40,-8,-1,1
9,11,9,-21,3,1,1,8
-2,-2,12,-18,-10,-1,-3,-7
-20,-22,-30,6,24,2,-9,-22
-9,-6,2,-2,-6,-9,-7,-6
6,-8,5,14,1,-6,2,7
-1,3,-1,-22,-13,15,-4,14
-3,15,-2,-15,15,-3,-6,-6
0,1,-5,8,-20,-5,2,-22
-2,-12,-1,16,0,-6,4,1
31,82,55,13,-42,-7,2,29
17,27,-34,-30,28,18,5,11
-26,-43,-31,30,42,-31,-14,-19
-6,-8,10,17,25,20,5,0
10,31,29,15,-4,7,7,-22
21,-10,-19,-27,-21,-20,-3,31
15,-1,-8,-3,-15,-8,6,54
-10,-7,7,3,-32,7,-1,-22
-9,-17,5,-24,-54,-23,-11,-9
26,52,11,17,23,9,13,15
2,14,-2,3,13,20,7,2
-13,-17,-18,7,17,-32,-8,-5
-14,-6,-4,9,-6,5,-3,-9
-15,-23,-10,-49,-115,-13,-1,-4
6,-22,-3,-4,55,12,2,10
-5,5,6,21,35,2,-9,-8
-2,4,10,-25,-13,-9,-8,-11
8,23,24,17,5,-19,-3,4
-8,-12,-21,3,13,-5,-10,-7
0,-13,-3,-15,-40,-14,4,6
3,-12,-8,10,14,16,6,5
6,7,-8,-23,-4,-14,3,5
-13,-3,7,21,17,17,1,-13
-4,-5,-6,-3,17,29,1,2
-1,-9,3,1,38,6,-2,4
-9,-7,13,25,-78,-15,-4,-9
14,8,-5,-29,-61,-4,10,14
1,2,-17,7,47,-3,-10,-9
-6,-3,-4,-41,-5,-4,-4,-5
-13,-13,-5,-8,-20,-8,-7,-12
10,7,9,17,43,10,5,6
-19,-17,-11,17,30,9,2,-4
-1,2,3,2,23,-3,-6,0
22,29,16,4,-6,2,-2,-5
-16,-24,-22,-23,-38,-19,-16,-18
-3,-5,3,6,6,5,10,10
2,-6,-3,-2,4,4,4,-20
4,6,8,8,-22,-4,1,27
5,22,2,-24,-27,4,3,30
-17,-37,-34,-21,-63,-17,-12,-21
13,16,17,25,47,16,7,8
-11,-9,-12,19,72,2,-9,-9
-21,-26,-6,-12,-21,-32,-15,-17
-2,-10,5,2,26,-12,4,1
6,11,2,-6,-7,19,-4,-4
3,-4,-13,-1,46,-12,-1,1
1,2,7,21,-6,45,11,6
-13,6,22,-30,-87,-23,-3,-14
0,-4,8,-6,-22,-15,-16,-4
-8,-30,-34,5,22,-7,4,0
-22,-51,-32,8,8,-10,-2,-5
4,40,28,1,2,7,8,-2
43,86,66,10,0,-24,-6,9
-13,-7,-41,-27,-27,-10,-10,-7
-5,-14,-18,-28,-18,4,-1,6
-7,-11,19,31,38,8,-10,-16
-6,-20,-3,15,57,11,0,4
2,-10,-16,-10,19,2,8,8
-3,11,-5,6,3,4,-10,-11
5,5,2,-7,0,-31,-5,0
-7,-9,-11,-2,-36,-4,-3,-4
0,3,12,9,-30,-13,7,2
-7,-12,-4,-40,-13,-11,-6,-4
-2,-12,10,5,28,-14,-3,0
1,7,-11,31,-8,14,3,0
6,26,-2,-5,-19,-10,-2,2
