Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-1,0,-3,-5,-6,-5,-5,-2
26,10,17,-61,10,4,0,10
18,13,17,28,-14,-6,4,14
12,3,-5,4,28,8,-2,4
10,14,8,31,-34,9,3,1
-1,-3,-3,-23,-24,-1,5,3
26,-5,5,0,3,-15,2,5
-48,18,10,-5,19,4,-2,-6
-13,7,-30,0,14,19,-1,-7
-11,-23,-12,-3,-40,-24,-15,-22
29,0,-1,9,67,7,2,9
-37,3,7,-2,4,-11,0,-14
18,-5,-17,7,-55,-4,5,8
17,-9,2,-10,14,3,0,7
0,1,10,-24,-9,-3,-4,6
9,4,32,26,13,-63,-8,5
22,-1,-41,-13,-80,99,27,17
1,8,52,-28,-87,-3,7,0
-19,-5,13,49,-24,-16,-7,-14
-2,-12,-69,-114,70,-6,-5,-6
-20,-9,7,-17,11,2,-2,-6
6,0,11,-28,26,1,2,-5
-3,-16,-20,-72,-108,-24,-17,-11
2,-15,0,30,4,-46,1,3
88,42,19,-7,11,23,16,44
124,39,12,-18,3,2,1,-7
-128,-70,-73,-11,6,-2,-11,-38
51,-20,-12,-1,-24,1,-6,-13
1,-6,16,-5,-128,5,-4,7
-5,2,-4,43,91,-11,-3,7
-6,1,-8,8,-32,14,7,8
33,17,25,16,25,15,2,2
-51,-3,44,-2,11,-19,-7,-19
-14,-16,-44,-23,-1,-7,-8,-15
-3,-6,-9,-3,18,1,1,3
10,0,17,18,-5,-1,0,15
49,18,15,2,39,35,6,-10
-128,-52,18,21,22,15,-2,-47
-115,-50,-128,-63,-86,-21,-11,-29
48,0,7,46,-31,-13,-6,8
41,14,5,-36,17,-35,-6,18
41,4,16,109,-20,87,9,9
22,7,3,-13,17,0,0,2
-16,8,29,-9,1,-15,-4,-11
45,-30,-9,-14,-5,-3,-9,-36
-35,10,5,48,45,-9,-2,-26
47,19,1,5,-49,0,-4,20
43,0,12,6,11,-4,0,5
-50,-16,-6,-55,5,-2,-1,11
12,-12,-19,-11,-3,10,3,2
26,2,35,-8,4,-14,-1,-5
18,6,3,-1,12,51,10,9
20,6,2,-17,94,3,11,18
34,10,20,31,-43,-4,0,25
29,13,31,52,6,0,-11,-23
-128,-23,-40,29,16,-12,-5,-39
76,-19,-70,-95,-99,-5,-18,-5
-15,-14,-12,-6,-6,-5,1,-7
-22,-20,22,7,-13,-7,5,-13
29,-5,13,-10,9,18,8,7
33,7,-20,11,9,-15,-1,11
29,6,12,24,19,4,3,14
23,24,60,-3,6,-7,-2,7
9,18,-12,-20,4,-1,-5,2
-15,-20,-17,27,-18,-14,-16,-16
1,-11,-1,4,67,-10,-10,-6
3,5,23,-26,-117,8,12,6
8,-2,1,-6,127,52,14,14
-98,-12,35,6,-103,-15,-5,-22
-56,-3,-23,-20,41,0,-5,-30
8,-18,-13,2,-92,-10,-3,1
59,-3,0,-9,3,-1,0,26
-10,20,8,2,13,-1,2,15
-83,27,7,15,2,-8,1,-13
-46,-3,54,-23,3,-16,-10,-35
-71,-64,-128,19,41,2,-7,-26
27,-8,23,-64,16,2,-5,15
69,13,-7,-20,127,2,7,10
-20,-5,-19,-35,-128,-11,-8,-22
-54,3,8,-12,73,-10,0,1
37,5,20,27,65,-3,-4,12
43,9,15,-14,42,-2,5,13
-3,11,13,21,61,-4,4,12
24,11,8,20,-1,5,1,5
-16,-10,9,-20,-28,4,-6,-19
29,-15,13,28,6,2,-2,0
-7,-17,-40,-100,-34,-26,-11,-20
-47,-11,-11,-30,-36,-10,-5,-5
31,10,5,1,-43,-2,3,12
-53,1,-8,10,-14,-12,-6,-9
14,7,16,-65,-3,0,8,-2
-4,-1,25,-2,8,22,3,7
59,-5,-5,0,-11,-2,5,19
6,17,47,60,15,-5,1,3
-29,20,-69,28,-6,-6,-9,-5
61,0,10,-33,-14,-6,-5,-3
-31,-38,-23,-13,3,0,-7,5
-24,9,13,21,78,25,2,-5
-69,-6,-1,22,-63,-8,-10,-22
3,-15,19,20,41,-11,-9,-7
-79,-9,-1,-2,-20,-18,0,17
20,4,-42,2,42,38,2,-2
-21,1,26,-30,12,-9,1,-15
58,10,-2,14,18,12,8,15
17,8,-27,4,40,-27,1,9
41,0,58,-12,-128,-12,-4,-9
-128,-17,11,35,55,-6,-4,-26
-12,-12,-42,-33,32,-8,-4,-3
15,0,32,-2,7,-27,-1,3
23,15,33,106,-24,5,-4,5
-4,-11,-26,-14,7,32,1,-7
1,-13,-7,-95,-9,-18,-4,5
49,4,0,-8,2,1,8,15
-1,-1,5,33,7,3,7,1
-22,3,2,11,28,2,-6,-16
-45,-8,-36,10,-43,0,-6,-14
57,10,18,-8,65,-6,-7,23
66,3,10,-15,-97,-25,-10,-10
-128,-18,4,-19,3,8,-7,-38
-10,-9,4,-37,5,10,3,-10
-10,-28,-64,-8,-5,12,-3,-3
41,-7,-46,23,46,-11,-2,16
22,10,24,-4,-65,10,4,31
4,18,-1,-4,-30,-6,5,1
15,16,26,10,5,-5,-12,-19
-128,-23,8,-44,-21,3,-9,-31
11,-4,-24,63,81,-42,-10,-11
-13,-14,-17,-18,-56,54,13,5
27,16,18,-4,-22,-7,1,16
2,5,2,-31,0,-2,-2,7
-9,-2,10,-18,-28,-3,1,-6
0,-5,-24,2,32,9,8,6
-2,4,17,-10,15,1,-6,-1
-6,-8,-10,57,40,-7,-2,-1
-10,1,5,-6,-75,-9,-2,0
51,14,14,-16,-14,-7,-5,10
52,17,23,50,27,-5,6,11
-63,-11,-17,4,9,-1,0,-33
-108,-14,62,-12,-15,-5,-6,-27
9,-24,-123,9,-9,8,-8,-8
14,-5,-17,3,-13,8,-2,5
34,4,28,-7,-11,-2,2,5
48,24,19,21,18,5,5,28
17,6,-5,-2,10,-4,-2,-1
-116,-24,7,-10,-43,2,-4,-24
52,6,5,-4,-6,-10,-4,10
-22,2,-7,22,14,19,0,-2
-28,-15,-22,-103,-10,-4,-11,-26
-2,-3,31,23,24,-26,-2,-6
9,-18,-2,7,-22,-12,0,3
13,13,3,25,36,4,6,9
19,18,-2,-6,34,6,1,15
-2,-14,-37,-5,-24,-14,-8,-4
6,5,14,9,-3,11,6,-4
-17,0,-6,1,-55,0,-2,-1
3,1,27,51,14,-5,1,3
-5,1,-16,-31,51,-10,-5,-2
15,0,43,-20,1,-3,2,2
35,-9,-51,28,-17,-7,0,-3
-18,-2,-9,-3,1,6,-4,-4
0,0,-2,-29,-21,-12,-2,-5
14,0,-9,9,-14,27,1,2
23,-9,3,44,17,7,5,7
6,9,14,-11,-3,-3,6,20
22,8,11,27,14,-5,-8,-5
37,7,22,-14,39,5,6,-6
-82,-26,-39,16,2,-13,-7,-9
-49,-11,9,9,-14,19,4,-15
46,6,-2,20,-36,17,-14,-29
6,-15,-57,-21,-27,-6,-8,-11
30,3,-9,-11,8,-6,-3,14
49,0,-9,-11,4,-13,3,9
-35,0,21,23,25,-3,3,-4
18,0,13,-1,-54,3,3,8
2,-7,-13,33,118,13,2,5
-2,-7,6,-2,-79,-9,-7,9
67,3,-21,-36,5,-5,0,15
39,12,-7,4,35,-15,-3,5
-72,2,19,19,-53,-3,-2,-26
-19,-10,1,-5,-5,7,-11,-18
5,-3,-7,-13,4,23,2,-7
12,-5,38,-7,4,-15,3,7
6,-16,-115,1,5,-7,2,5
13,2,-4,6,11,3,1,14
2,-10,-4,-21,-17,11,1,-4
-2,2,17,18,-11,-23,-7,-4
80,38,5,-9,43,25,10,26
24,27,26,69,28,4,2,-1
-116,-59,-44,-56,16,58,13,-42
-32,-13,-9,-22,16,-21,-19,-27
10,-9,7,14,-128,-26,-17,-6
22,5,-25,-14,-45,-11,-8,1
-10,-8,0,21,47,1,2,4
15,-1,2,7,33,9,0,2
16,3,-4,16,16,6,6,14
12,10,10,-31,15,4,3,5
23,7,8,21,1,-12,1,14
-8,11,-3,-28,2,13,-4,-7
-14,2,19,36,-2,-24,0,-3
8,-15,0,-20,-10,20,2,19
27,0,-1,-6,0,-1,-8,3
-17,2,21,-11,-5,-9,-10,-45
-63,-4,-29,-4,-3,-12,-12,-27
6,-15,-32,6,-7,6,4,-1
11,-30,12,6,-19,-1,2,8
14,23,7,-76,34,-26,3,12
6,1,-18,-16,3,-9,-8,3
4,-4,-8,38,-13,6,-12,1
-4,-20,-18,-27,-22,15,6,7
42,18,17,22,-12,-1,5,23
71,36,24,-19,-60,-11,-7,2
-11,-14,65,14,58,-7,-7,-23
14,-56,-128,-21,16,0,0,-30
39,22,7,10,-2,-8,0,10
69,11,50,28,-39,-4,3,17
5,0,22,-86,-7,6,3,-3
-128,-23,-82,2,6,8,-1,-3
8,-5,-4,-9,-9,-13,-4,-10
-32,6,37,83,58,17,3,-13
25,-5,-19,-8,15,-4,0,-9
-27,-13,-44,-1,-7,-27,-3,-6
21,6,14,-72,-3,40,11,11
-2,9,30,-6,4,15,-9,-2
-1,-8,-37,-27,-22,-1,0,3
-10,-18,-128,11,10,4,-3,1
-6,-13,6,-6,-28,-9,-2,-4
-4,0,7,5,21,-9,-3,-5
-3,15,6,24,6,7,3,-4
44,-2,-28,-29,1,13,3,17
59,16,21,-5,-29,-24,-3,11
-91,-24,0,-8,47,17,-3,-17
-94,-27,-13,-15,-32,-6,-4,-26
-102,-20,-17,-12,-97,0,-7,-31
11,1,2,21,43,-4,-1,24
23,-3,-19,0,15,-26,-2,10
-17,3,12,1,0,27,1,-12
-13,24,13,-9,73,-9,-9,-12
23,0,-54,-6,-20,5,4,17
5,6,62,9,-109,-16,-6,3
8,-19,-104,-32,3,1,-5,0
47,22,-31,15,-7,-33,-5,25
20,10,-12,5,47,69,19,-3
-55,-35,1,1,-14,13,-6,-42
-20,-33,3,25,-38,-19,-12,-24
27,4,9,-6,10,-5,0,8
37,7,4,-7,-1,-6,3,22
80,14,-1,-25,9,-3,0,28
22,2,-4,31,30,-41,-11,-11
-128,-28,-5,7,-32,28,4,-36
0,15,0,-16,27,15,6,-5
52,2,63,4,-38,5,0,8
-5,5,-48,10,4,-9,-2,2
53,5,-2,-52,-97,-16,-1,-3
-68,-13,-6,25,43,-2,-3,-24
5,-8,7,32,17,2,-6,-1
-9,-8,-6,-5,3,-9,-10,0
7,-5,16,14,15,3,6,20
-4,10,22,91,73,3,3,6
-2,-3,16,-88,-98,-5,-10,-5
-5,7,9,-4,21,-18,-7,-6
21,16,-18,-12,0,9,-2,0
41,9,2,12,38,18,6,7
-49,-13,27,6,1,-14,1,-6
27,-3,-59,17,-27,9,2,9
