Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
15,9,-31,7,7,6,-47,-22
12,-4,18,-3,-1,-6,-4,4
22,-27,-128,9,-3,-3,19,-7
6,-19,-128,-42,-8,-4,23,-4
-5,-16,109,1,-2,-3,-10,-9
-3,-10,6,-1,-2,-4,-5,-4
8,17,21,0,-1,-1,1,14
6,20,34,9,0,1,-9,-4
11,-28,9,23,8,15,-9,116
-3,17,36,1,-5,-7,21,-18
-8,-8,-23,-43,-10,-13,-12,23
25,7,24,19,7,-3,-19,-22
-2,45,12,-32,-7,4,10,11
41,2,-32,34,4,-3,-26,19
-16,-35,-55,-39,-14,-17,16,0
-14,3,12,14,3,0,-19,6
-16,-9,27,26,0,-1,-23,-5
49,-14,71,18,5,1,-10,-10
-29,2,-47,-12,-5,-3,-17,-1
2,6,35,-7,-3,0,27,4
5,19,12,24,-2,2,7,0
0,-1,-42,-5,1,2,-9,-4
36,-29,69,12,-5,-13,-64,-91
15,7,12,-16,-5,2,38,-8
-21,15,-7,16,-2,6,36,18
18,-26,-5,2,-7,-27,-60,-8
15,18,42,6,7,4,6,3
1,11,-9,9,9,8,3,4
-2,56,76,-5,-1,3,4,0
8,-4,14,-2,-3,4,-2,-3
-10,-31,-73,11,-3,-7,-10,-4
8,-5,40,30,0,0,5,13
12,-4,-42,-73,0,1,4,10
61,19,24,-22,3,7,37,127
-8,23,52,17,0,-2,-13,51
-38,24,44,42,1,-12,-86,-83
7,13,18,-3,-2,2,2,18
-2,11,18,-91,-12,6,2,-31
15,47,83,92,4,4,19,91
38,65,121,-112,8,4,-33,-128
-20,-50,-128,-7,-8,-4,-4,17
-33,-114,-128,-22,-29,-25,-20,-3
6,7,68,14,7,4,10,1
-2,20,50,20,4,6,55,80
-15,-37,-22,10,3,2,51,-12
1,26,17,-1,-2,-8,0,-4
11,28,19,-5,1,4,16,20
14,-5,-68,-21,-3,-4,-24,-31
27,17,16,-2,-4,-4,-12,-21
-91,19,41,-3,-4,-11,-28,-53
17,-9,-53,-11,4,6,0,12
-32,-74,-4,-1,-27,-28,-21,-20
-4,-12,-51,-17,-5,0,1,-4
-2,0,51,5,-5,-6,-20,-12
6,21,47,30,21,10,18,3
8,21,18,-7,-5,1,11,-37
4,5,37,14,0,-1,-2,9
0,39,2,-2,-9,-1,-13,33
-14,-49,-36,-38,-3,-12,-10,-41
5,2,30,19,7,-2,-10,-26
4,30,-33,38,6,6,9,92
37,15,-88,-55,-11,0,-2,-25
-41,0,-10,-15,-9,-4,-13,4
-11,-29,-22,-22,-14,-9,-1,37
13,-20,24,24,7,7,13,12
3,127,117,12,1,1,18,25
19,1,36,23,10,3,-29,-42
-13,-82,-100,2,-3,-6,-23,-92
-76,46,127,65,3,-1,-6,-12
14,-48,-128,-39,-3,1,19,127
16,26,32,-29,-9,-5,6,85
6,-58,-1,-55,-3,-2,-19,7
-19,37,117,20,0,3,15,19
6,16,85,30,12,5,-11,-10
34,-13,-86,93,7,9,42,127
1,-17,48,61,4,-10,-33,45
-41,25,74,-128,-13,-3,-14,-128
5,0,31,0,-20,-7,0,11
-8,-67,-117,47,2,-4,3,-62
13,63,76,29,11,12,-3,-14
15,-23,-64,53,3,-1,9,75
-31,-55,-128,-42,-19,-16,1,-128
