Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-32,-6,11,-2,1,3,-6,-2
4,8,2,-1,-1,1,-2,-5
8,-5,2,-13,-2,-4,14,-4
-30,4,-1,33,4,-2,-10,-5
-5,-2,18,16,-8,-4,-8,15
2,-1,8,-38,-6,-2,2,-2
3,-5,-20,0,-1,-4,3,-1
3,5,-26,-19,-1,3,0,-1
1,-2,-12,-12,3,3,-2,-1
-7,-2,30,112,3,-9,-4,0
2,9,19,-6,5,-2,1,0
1,-3,-4,-22,-4,-2,2,-2
4,-5,9,-6,2,1,-3,1
3,-3,-27,3,-4,-2,-1,6
-1,-5,-7,-10,-3,-3,-9,-9
-1,-3,-8,32,1,1,-19,-8
15,4,11,-17,0,0,14,20
27,6,7,-35,-1,-2,17,-2
-48,-12,13,5,-1,-5,-14,8
-13,-9,13,7,-1,-3,5,-37
6,0,23,11,-2,-3,-15,4
-13,2,-1,-10,-3,-1,3,0
-2,1,-1,-3,-3,-7,2,-10
4,0,8,9,3,0,-7,-1
4,0,8,10,2,0,2,-11
-29,0,15,-38,-4,-3,-17,1
1,-3,1,44,0,-4,-1,4
1,8,14,-49,1,0,-3,0
-1,1,-5,17,-3,-6,-4,-5
-5,-17,42,6,1,0,-2,-2
-4,-6,-6,21,-1,-4,-7,1
-1,4,20,22,5,3,3,-4
1,3,-23,-17,2,5,9,1
-4,-15,0,-53,-7,-3,-6,-3
11,-4,48,71,6,-1,-2,-1
-35,-2,-66,-50,-5,-1,0,7
-12,3,1,-23,-2,-4,-9,-24
-1,6,17,-11,-9,-6,-6,-4
-1,7,-27,-27,-2,3,0,4
0,-13,-19,17,3,-2,-5,-7
0,-2,-36,-36,-10,-3,-5,-8
-15,-8,48,-35,-5,-4,-3,2
-2,-7,-15,29,4,7,3,-1
-2,1,-6,61,-1,-8,-5,-3
1,-3,5,-40,-10,-9,-6,-1
3,17,3,-78,3,-1,-4,1
-6,-26,1,-10,3,-2,-11,14
-3,-11,-10,-19,-3,-1,8,1
9,-33,0,-6,-2,-1,-12,-4
-10,3,-27,17,-4,-8,-6,-17
-18,22,50,-1,-7,-8,-8,-18
14,19,35,14,7,5,1,0
-2,16,-49,36,-6,-11,-5,-1
-21,-75,36,56,7,-4,-5,-7
-6,-20,17,-78,14,5,0,-1
15,10,38,-4,-15,-8,2,22
-8,7,-7,15,-2,-1,-6,18
-19,8,-1,-28,-3,-4,-8,-118
-1,11,-14,22,-4,-1,2,-9
4,3,8,6,1,-1,-10,-8
-2,6,-21,8,-4,4,-2,10
-5,3,2,-18,-8,-6,1,14
-2,-5,-11,6,-1,-2,-5,-3
1,6,7,-11,1,2,-2,-5
3,19,20,20,-2,-3,-1,5
12,-1,-20,10,1,4,2,5
-11,17,27,17,-10,-11,-5,-4
-20,-101,-5,6,-2,-10,-5,-2
-2,18,33,-2,6,3,1,3
-8,-20,8,-51,-9,-5,-3,-4
-6,-72,-84,-22,-7,-2,-1,8
0,8,7,-1,-3,-4,1,-12
6,-1,-56,56,-3,3,1,-35
0,34,115,-18,17,0,-5,-6
-7,-14,-40,-57,-2,-2,-1,5
1,-2,15,-3,-13,-6,-2,-3
-3,2,14,43,6,-2,-1,-5
2,-2,-32,-21,-2,-2,2,1
-1,1,7,1,9,7,1,-3
30,4,21,19,-1,3,3,21
-31,-27,5,-7,-4,1,0,25
7,2,-40,-19,-10,-7,1,20
5,-7,7,-2,-1,-5,1,-85
10,-1,0,3,-1,-2,-7,-8
-17,-7,11,-9,-6,-4,-4,2
12,12,-7,19,2,-3,1,5
11,3,51,7,-4,1,-1,7
2,17,-29,-2,6,1,2,6
11,3,-17,17,3,-1,7,5
-4,25,25,17,-40,-21,-10,-1
-2,-46,19,31,13,-3,-1,-1
-11,-23,-38,-22,10,-1,1,3
7,15,14,-128,-24,-1,3,4
-3,15,13,37,-14,-10,-4,-8
-1,4,26,27,25,7,-4,-7
0,1,-2,11,-12,3,-1,-2
0,4,53,22,-9,-3,2,-1
-2,8,-7,-7,-5,-2,-3,-2
-2,15,12,17,0,-1,-4,-3
2,-4,-10,-20,-5,-1,4,-1
1,-1,-25,-56,-3,0,-2,-7
-4,-5,-11,9,3,-1,-6,32
-8,-21,13,-2,-2,-5,0,-5
1,-2,-8,16,3,-2,-2,-1
-4,4,-2,3,-7,-4,-2,-2
4,-18,-27,-23,-2,0,4,11
-7,-5,-27,-13,-10,-9,-8,-16
0,21,12,3,2,3,0,2
2,1,-8,-4,5,-1,-2,1
-4,-4,34,0,11,5,-4,-2
1,4,-14,-23,-6,-2,-2,-5
2,-10,-6,10,-1,-1,1,18
0,6,-2,-17,-2,2,-2,-14
2,-2,-2,-22,-15,-8,-2,6
-4,-76,-42,88,22,-4,-1,0
-3,19,1,-49,8,8,6,3
-1,-2,-1,-11,-6,-2,-2,2
-2,2,9,-7,-4,-8,-6,-2
4,2,-2,-4,-14,-7,-5,-1
-7,-10,-13,16,11,-3,3,-6
4,3,-25,-34,-6,8,0,10
-7,-1,19,-6,-6,-4,-8,-32
0,0,4,3,1,1,-3,4
-1,2,-2,4,-3,-4,-3,5
4,2,-5,14,-7,-4,-4,10
-1,-6,7,-2,13,5,1,17
-12,-19,-8,24,6,-3,-6,-43
1,2,9,-8,0,1,6,3
-1,-2,-19,-6,-10,-7,-5,10
-2,2,-7,-38,-2,-2,-1,-12
0,-50,0,-1,-7,-9,-3,-2
-4,21,7,5,0,2,3,5
3,0,6,11,2,1,-2,31
-1,2,-12,-14,-1,1,-2,-9
-10,-12,8,85,3,-5,-5,-10
3,2,6,-128,-9,-4,3,8
3,9,8,28,-20,-9,-6,6
-1,6,-2,7,-5,-3,-2,0
-11,1,-27,-75,-4,1,1,-1
-5,-21,-62,-54,0,5,2,-3
-1,-8,-2,28,0,-5,-5,0
-3,11,42,20,-10,-6,-2,-1
2,10,11,1,-2,1,1,2
3,3,-7,-20,-11,-6,-2,0
0,-12,7,32,-6,5,3,-4
-5,-2,-9,2,-5,-4,-3,-1
-9,-8,-22,-26,4,-5,-5,-6
-2,-5,-3,16,-13,-2,0,-2
1,-6,-27,-2,7,3,-1,-4
-1,-3,32,-92,-7,-6,-4,-2
-2,25,-12,43,-9,-4,2,2
5,-2,22,13,11,10,1,4
-5,-25,-1,23,-24,-9,-2,-1
4,12,27,27,29,4,2,-3
-6,20,-45,29,45,14,3,-5
2,-9,-69,-78,6,8,0,0
-9,5,106,108,-6,-8,-8,-6
-4,-10,-16,-33,-1,-2,2,1
1,-1,-13,-32,-11,-11,-2,2
2,-4,-13,-1,5,5,0,1
-1,7,17,-6,-5,-3,-4,-2
-4,-5,-8,55,-2,3,-1,-5
-4,-20,25,16,1,1,-1,-4
-2,2,-14,124,9,4,0,-1
0,3,11,-59,-5,-4,-5,2
-5,-14,20,28,3,-9,-4,-1
2,15,-38,17,-20,-9,-4,1
-2,-19,-23,-86,11,-3,0,-2
-1,32,20,38,-12,-13,-5,-3
0,-4,1,12,-5,5,1,-4
0,-2,5,11,-3,-1,-4,3
-3,-8,-7,37,7,1,-2,0
2,6,44,-20,-8,0,1,-1
4,-6,19,-34,-15,-7,-4,2
-9,-12,-71,26,-48,-21,-11,-6
1,-3,3,-30,47,11,1,-3
2,4,21,52,-29,-4,2,4
1,1,13,5,11,5,-4,-1
-5,-6,3,34,21,0,-4,-8
-2,-3,-8,-78,-20,-7,-2,-3
4,-11,4,25,1,-2,-1,-3
1,1,-4,13,8,7,-1,-3
0,5,10,-87,-20,-5,0,1
-2,0,4,-55,-18,-8,-4,-2
-1,-11,11,127,5,3,-4,-2
-4,0,-25,-128,-13,-1,-1,-3
7,-44,-3,127,-10,-10,-7,-1
-2,15,7,-116,-12,-3,-1,-2
0,-2,-24,-128,-9,-3,7,4
-5,-8,-4,16,10,-3,-10,-8
0,5,12,42,-6,-2,-7,2
2,-1,3,24,-15,-4,-1,3
-1,-4,-7,55,11,3,8,0
-2,-4,-5,-86,-16,5,4,-5
-3,-3,2,49,3,-7,-3,-7
-9,-53,-7,-78,-15,-9,-13,-9
4,13,5,23,22,0,-6,-4
-6,-5,1,54,-27,-6,-3,-4
1,1,-5,-19,15,3,3,4
-2,7,-1,20,25,5,0,2
1,1,1,-29,-2,3,18,3
-4,2,5,24,-14,-5,-7,-6
-3,-8,4,16,-1,-1,-1,1
4,3,7,-4,-6,0,-1,-4
0,15,3,24,10,8,-1,-2
1,-12,2,-21,-10,2,4,7
-7,0,-1,-36,-9,-4,-3,0
-3,-11,-8,66,16,-3,-5,-11
2,7,3,-32,-18,-15,-13,-8
-7,-8,-13,-113,-34,-9,1,-5
-2,0,12,31,27,12,5,-2
-5,-2,-9,14,-9,-9,-8,-3
5,5,-5,-12,-12,2,-1,6
2,-2,12,5,-20,-4,2,6
0,-5,0,-3,-18,-1,2,-4
-1,10,2,49,6,-1,-4,-10
0,-2,-1,-1,-18,-15,-8,-6
-29,8,0,-13,-9,-3,-1,-9
-8,5,-17,-31,22,0,-8,-5
-15,-12,15,23,-6,0,1,1
9,8,9,-17,-20,-3,1,5
3,30,1,33,7,8,12,12
-24,-64,-20,-21,-14,-12,-12,-2
-10,-29,9,0,4,-1,-1,-8
-4,0,-8,8,-15,-6,-9,-6
3,14,2,-20,-1,-7,0,-5
3,18,11,-32,-20,-12,-6,-2
1,-2,-8,-14,10,8,1,1
6,5,-11,6,5,6,2,2
-1,0,5,20,-16,-4,-4,-6
1,6,13,-18,-4,-1,-1,1
-6,-11,-21,-40,3,-9,-3,-2
-2,-2,11,4,-9,0,3,2
-1,-2,-12,12,-12,3,6,3
-4,-5,-4,28,12,-1,-6,-4
-4,-20,0,3,-8,-7,-4,2
7,17,11,-16,12,8,2,0
3,6,15,59,11,3,2,-1
-20,-14,-18,-42,-9,-5,-4,0
5,-3,-22,-29,-16,-2,-4,2
-7,-2,5,30,-6,-1,-3,-8
-6,-10,1,-8,3,-7,-2,-7
3,9,14,-20,1,0,0,-2
1,7,5,35,-9,-6,3,1
-10,0,-21,-46,-2,0,0,0
-4,-16,-12,13,8,3,-1,1
4,3,-1,-7,8,-1,3,4
11,5,8,16,-15,-9,1,0
4,2,-6,15,3,4,-4,-4
-35,21,7,16,11,1,-3,-5
-6,-9,0,-57,-7,-1,0,-2
-9,-49,5,67,-7,-3,-4,-6
2,14,-10,-128,-15,-9,-5,0
-2,1,-1,50,-5,-2,-2,-5
-4,-15,-21,1,23,6,-3,-2
-4,4,-2,15,-15,-5,-2,6
8,9,17,22,10,-6,-2,5
-1,-4,-10,27,0,-9,-6,-15
-42,-4,13,12,-10,-4,-4,-8
12,20,-10,-84,-17,3,4,4
-2,-8,-2,-12,10,14,6,8
9,-30,5,22,24,7,-2,5
4,5,-4,-20,-8,-13,-6,-6
-17,-14,-1,11,-10,-7,-6,-11
2,-18,-1,-5,-2,-5,-2,0
-8,5,-3,3,3,-2,-1,-2
-2,-11,-13,9,-5,-3,4,23
6,9,13,5,2,-1,-5,21
-22,-3,-23,31,-8,-6,-9,-84
0,-16,-28,-23,-3,-1,-1,3
0,4,23,59,-1,-5,-7,5
-10,-5,0,-55,17,5,10,0
3,16,7,48,4,-3,1,4
-4,-1,-7,63,0,3,-2,0
2,7,2,-128,-16,-1,2,7
9,4,6,55,-11,-2,-4,2
1,21,-8,-84,-9,-5,2,-6
-13,-17,1,16,9,-1,-14,-2
6,36,7,-6,0,2,3,2
-4,8,7,28,3,1,-2,-2
-32,-51,-26,-4,-5,-3,-3,-4
0,-6,0,29,21,-2,-1,-2
5,3,11,-17,-8,-4,-2,-2
1,-2,-9,17,0,-5,-3,-2
0,16,10,-19,-15,-5,-4,-2
8,1,3,13,17,4,3,2
7,6,15,24,15,8,0,0
-12,-13,-15,7,-6,-1,-2,-1
0,1,-27,-18,-13,-4,-5,1
4,3,7,4,10,0,-3,-2
1,0,-14,7,-15,-9,3,-1
-7,-5,-2,4,3,-13,-13,-8
4,5,4,-18,0,-6,-9,1
10,9,1,7,5,1,11,-5
-3,7,4,39,4,6,-2,3
-8,-23,-5,-54,-12,-8,-2,-3
-1,14,17,45,7,4,1,1
-7,-11,-7,-34,-9,-4,-3,-1
6,10,-19,-12,-26,-1,-5,0
16,6,4,-25,14,6,5,9
-27,1,26,7,-14,-8,-7,-2
2,5,1,16,-2,-10,0,1
-2,-37,-30,-53,-24,-5,-3,-1
0,8,-3,-12,-5,-2,-5,-2
-3,2,32,32,3,-2,-8,-7
2,-1,-9,-9,-3,-4,3,7
5,9,-6,-7,3,7,5,16
12,14,28,24,-3,-4,-4,14
-26,12,-5,-20,-4,-4,-7,-28
6,-48,-27,17,-4,-4,1,-11
-30,12,12,-4,1,-5,-4,-10
8,3,15,10,2,2,6,8
6,15,-5,-13,-11,-6,1,-2
-7,-13,-5,-7,1,1,-5,-2
1,-21,-17,17,-1,-6,-5,-4
-3,-5,-37,-19,0,1,1,-1
-2,6,25,22,1,0,0,0
-1,11,63,-4,-6,-3,0,2
-1,17,39,34,10,5,0,-2
-5,-13,-33,-3,-9,-9,0,-1
0,-7,-21,-44,38,9,2,-5
7,0,-25,6,-4,-5,0,-1
-2,-17,-17,0,-24,-12,-13,-2
-27,2,-3,-6,-6,4,1,1
7,17,11,7,-5,4,8,23
1,23,0,2,-10,-10,-14,-43
-3,13,-17,9,-7,-6,-9,-4
0,-7,33,18,-2,2,-1,0
3,33,4,14,7,5,4,4
11,2,-8,-18,-11,0,1,45
16,-12,5,16,-1,0,-3,-23
-35,1,-8,13,-14,-5,-2,-15
-4,-16,-22,-2,-35,-14,-1,-4
21,-21,-55,-25,30,13,4,9
-29,-42,30,-30,24,-1,-5,-6
-5,10,12,6,-36,-11,-6,1
3,15,-4,11,28,9,0,3
-2,4,41,18,-18,-10,-7,1
2,8,-1,10,-16,-10,-1,-3
4,5,-25,0,18,3,4,1
8,2,5,-16,-25,-7,-4,3
-2,9,-2,19,28,9,5,5
2,-17,-73,-25,-10,-1,5,21
-19,-40,-38,2,-9,-14,-18,-43
-3,-30,10,2,-7,-2,-3,5
12,5,-16,-14,-12,-7,7,6
-8,12,21,-41,-4,0,-7,-30
2,-4,14,47,21,-1,-3,4
-5,1,1,-34,1,0,1,3
-1,4,10,-8,-25,-9,-2,1
-1,4,4,57,-1,-3,0,-2
-4,1,1,-50,0,5,1,-3
3,-3,1,15,1,5,-3,1
2,-4,-21,-70,-16,-11,0,1
3,-2,-4,19,30,8,0,0
2,-2,4,4,-12,-3,-2,-3
-24,20,9,26,-8,-8,-8,-7
9,-6,9,-9,3,2,1,6
7,-45,-28,-42,26,11,18,-1
-16,0,3,47,3,-9,-10,-13
-5,-18,-7,-25,-23,-10,-18,-16
6,5,-4,0,11,-1,8,8
0,4,10,24,-6,2,-6,0
1,-6,0,2,6,-3,4,1
-2,6,7,37,-24,-9,-7,-5
1,9,-2,2,13,4,3,1
-1,-14,-38,-41,-1,-4,0,-4
-5,-3,6,-15,-8,-2,-4,-2
1,-1,-4,-20,1,4,4,-1
-1,-1,2,8,3,-2,-4,-4
2,6,-5,0,-3,-4,2,0
-4,1,3,3,-21,-5,-2,-1
3,1,5,11,30,8,-1,-1
-1,-7,-16,8,-4,-1,-4,-3
0,13,13,12,-11,-4,-1,-4
-8,-20,-13,4,3,-8,-7,0
-7,-1,5,-1,-4,-1,-7,-1
0,-2,-1,5,-2,-4,-1,1
-1,-6,-7,21,-15,-7,3,-4
2,10,-4,-33,14,2,-4,-4
-4,0,-2,-22,-7,-4,-2,0
0,0,1,12,8,0,-5,-1
-1,-4,0,5,2,-2,0,-1
0,4,2,3,1,0,-1,1
0,1,-5,29,-6,-4,0,3
-1,-6,-8,-33,11,-1,3,3
3,3,16,36,-2,1,3,-5
-2,-1,-19,-70,-6,0,-13,-11
1,3,11,14,-19,-4,4,-3
1,-4,-2,19,14,-2,-3,-3
11,2,17,-24,-9,-3,0,2
1,12,-1,-35,-12,-10,-7,-2
-20,-3,-13,8,27,6,-1,-2
15,22,6,-42,-20,-1,2,3
-1,-36,-7,15,21,4,-4,-2
-56,2,-9,19,-19,-5,-6,-13
8,-13,-22,-19,-11,-13,2,0
6,15,13,2,-1,0,-4,0
2,18,15,25,12,2,-3,2
-12,-23,-13,2,-9,-4,0,-5
-1,9,-2,-17,1,-5,-1,-3
-1,-9,13,7,-4,-10,-4,-2
0,6,0,-2,-7,0,0,-1
1,-2,-5,0,2,-2,2,-1
2,3,-3,5,5,0,-3,1
-3,1,1,-11,-9,-2,-2,0
-5,2,13,43,1,3,5,-4
2,2,-8,5,17,8,4,5
2,-14,-2,-49,-15,-8,-6,-1
1,18,0,13,1,-3,-9,-7
-14,-10,3,17,-15,-4,-6,-5
-5,0,-6,-42,-1,-6,1,-8
6,3,8,38,3,-2,-3,-2
2,12,9,-29,-5,3,-1,6
8,7,1,43,5,7,2,2
5,18,-10,-49,10,2,1,7
-1,-19,-5,55,-8,-2,6,2
-37,-45,-11,-119,-33,-14,-7,-15
-40,-9,3,-3,10,2,-11,-12
3,-14,-17,-55,-5,3,-2,4
9,9,14,-2,-8,-2,15,5
9,11,10,6,-3,1,2,5
8,15,7,26,0,2,2,0
4,3,10,-49,-6,-2,-4,12
3,4,4,43,15,-1,1,-2
0,9,3,18,-12,-9,-10,-7
0,-11,-18,-42,-4,-1,-1,0
-4,-6,-12,5,-7,1,-5,-5
-1,12,5,9,13,8,7,-4
9,18,29,25,15,0,-5,-4
12,10,-6,-11,-4,-7,-6,3
1,11,-11,7,5,-1,-5,-1
-18,-51,-13,22,-4,-3,-1,-3
-46,-56,-9,-48,-14,0,-1,-4
-1,-38,-9,5,4,-1,0,-2
7,16,8,57,12,9,2,0
10,19,-3,-110,10,14,13,5
0,-2,-2,16,-4,-11,-23,-10
0,10,2,20,-3,-3,0,-6
2,-4,4,-9,-21,-8,-9,-9
-7,4,1,-48,-2,-1,-1,0
-2,8,-16,11,-3,0,1,5
6,-7,1,20,-18,-8,-5,4
-5,-5,1,24,-2,5,5,-1
-1,4,-3,-50,-13,-4,-1,-4
-1,1,-4,23,-15,-6,-6,-7
-1,8,1,-46,-6,-14,-17,-4
2,-30,-4,25,-5,5,10,4
-27,0,5,11,-5,-3,-1,-7
-4,31,16,30,9,-1,2,-1
0,-40,-12,-61,-7,-2,-3,2
1,6,10,29,-10,-9,3,3
1,0,-15,-29,2,3,6,3
-4,-1,-5,39,10,1,-5,-4
-1,6,5,-60,-11,1,2,8
-1,-13,5,13,5,-1,-1,0
4,-38,2,22,12,4,-5,-1
1,-3,-23,21,-32,-12,-6,-9
-4,-1,-11,-88,11,4,-2,-3
3,4,9,17,5,0,1,1
-12,-3,1,28,-11,-4,-4,-6
9,-1,0,-13,13,7,2,9
9,10,4,21,5,0,1,5
-17,0,0,55,-3,-5,2,-9
