Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
2,3,127,16,-21,-10,3,14
1,0,9,73,30,3,5,30
7,16,33,0,2,1,8,-1
1,-1,-16,-4,-1,-5,-3,-7
2,-6,-20,-13,-7,-2,0,6
3,7,7,-10,1,3,0,-6
3,-1,14,-38,-4,1,2,3
-4,-1,60,8,-3,-5,-2,4
8,24,-20,26,0,1,3,14
-4,-20,-128,-32,-9,-5,2,-1
-16,-16,127,-15,-8,-3,-7,-24
2,-11,83,23,3,-2,-10,-21
10,2,-11,-1,-4,-3,2,21
-17,-4,31,24,-6,-9,-15,-71
3,-4,27,9,-4,-7,-22,-27
-10,1,1,-11,2,-1,-4,-57
8,2,7,-4,3,2,9,44
12,4,13,0,2,5,12,-7
0,6,14,-1,1,0,1,35
-2,-20,-128,-43,-1,3,-2,26
-18,-24,-19,5,-6,-2,-6,-62
-5,-6,93,8,-10,-6,1,11
1,-3,49,12,-5,1,1,21
23,-5,-102,15,5,1,6,-2
-8,-2,-16,-14,10,4,14,39
-17,-3,-25,-5,-2,-4,-21,21
-9,-5,-62,1,-13,-11,-37,-97
-2,0,30,8,-4,-9,-1,32
36,-2,-17,11,-7,-4,10,109
16,1,77,27,-6,-9,27,127
-10,0,-15,4,-4,-1,1,-85
-54,0,15,-3,-3,-7,-73,-128
5,10,12,-9,5,0,-32,21
7,-12,-44,-8,-6,-5,0,62
2,-3,118,-6,-3,2,10,54
10,0,9,-1,2,2,13,44
1,-15,-18,-22,-4,-5,13,-60
-30,-2,-48,-98,-16,6,-10,-53
-12,-9,47,22,-13,-7,-38,-128
-7,4,27,92,26,-2,-4,29
13,0,-104,-2,4,9,22,64
8,-11,-33,-52,-4,-13,-22,-45
45,-14,127,41,-14,-5,-16,4
-9,7,17,-16,3,3,-14,75
-4,-5,27,45,3,-1,-19,-65
18,5,68,18,0,3,9,14
38,1,-113,-43,6,15,24,127
12,-11,38,-30,-11,0,21,127
-30,-9,48,36,-19,-17,-36,-128
-4,6,21,20,11,5,-5,-50
7,1,36,-10,-16,-4,7,18
5,0,12,34,-4,-6,-4,12
18,5,12,24,17,3,6,16
-2,-1,22,8,0,3,10,12
-22,-1,-49,-26,3,-5,6,-4
48,-5,-102,-102,-2,10,-7,11
-9,-2,-47,97,-21,-21,-26,-14
-3,-9,65,16,-12,-5,16,69
5,11,8,-42,1,3,11,30
-18,-4,-34,-15,3,1,-24,-128
14,-1,-3,4,1,3,18,118
-36,-9,36,40,-5,-7,-10,-32
-43,-5,-19,-12,-1,-5,-70,-128
-5,2,-34,1,3,4,-7,-77
11,-2,-3,-12,4,3,23,47
12,1,43,-8,-3,-4,23,57
16,-2,-128,-40,3,5,17,49
1,-7,-21,3,-2,-2,-1,25
2,-2,90,33,-14,-12,-3,45
19,-4,6,-8,-1,1,16,127
-12,-3,37,-3,4,-1,-14,-69
-31,-11,-13,-3,1,2,-23,-128
15,5,-42,-28,-3,3,17,127
20,0,-32,-10,-7,-2,19,112
21,2,-43,4,-2,1,8,-128
-42,-16,46,6,-6,-12,-48,-75
-34,-1,38,22,3,-3,-30,-20
4,11,-13,-53,-5,4,-2,-12
-2,-1,7,45,3,2,12,9
9,-12,13,24,-4,-5,15,53
23,1,23,-7,-6,1,19,19
10,1,-10,-8,13,5,10,19
-5,3,-39,-23,0,-3,-5,10
-17,-15,-40,-2,-10,-11,-21,-92
5,6,-9,-5,-4,-3,0,6
5,-1,-22,-45,-11,-3,4,15
8,0,127,17,-16,-5,19,50
-2,-1,-92,-1,8,3,1,30
-2,4,11,48,12,3,-10,-80
-12,-6,-72,-12,10,4,-14,-9
13,2,-23,-1,6,7,24,103
-11,-17,13,-4,-22,-15,4,49
17,1,21,-8,-5,-7,-35,-128
-7,5,-4,-18,-3,1,16,127
-35,-1,7,-4,-2,0,-11,-128
-18,1,18,9,2,-2,-39,-121
10,-2,-20,-8,4,7,3,44
3,8,66,14,1,-5,-1,34
9,-12,-77,-28,-3,-2,5,44
2,-6,-49,-6,-10,-7,6,27
4,10,123,9,-1,1,4,20
1,13,67,19,6,5,9,6
-4,-22,35,-16,-1,-2,-11,3
-2,-6,-76,-27,-5,-7,-4,0
11,12,34,16,3,4,16,36
12,-1,11,-25,-8,4,15,122
-4,-14,-22,8,-11,-6,-1,-70
-29,-14,41,4,6,-11,-53,-128
-10,15,67,7,0,3,-21,-45
2,-11,-55,-40,-17,-12,-7,11
-4,0,17,38,12,-7,-1,-9
-14,0,-36,-26,4,4,2,-65
34,16,14,-4,-9,4,34,127
3,8,77,-1,3,0,4,74
-16,-17,-128,-6,0,2,1,12
-26,9,127,14,-1,-6,-17,-103
-29,0,15,14,-5,-8,-55,-128
1,-5,-53,-19,-7,0,30,40
16,-11,8,-21,-7,3,20,109
7,-1,27,23,-6,-7,-1,42
32,13,10,1,-1,-4,20,114
23,10,-59,-19,2,8,-2,2
-39,-2,-47,-8,11,-1,-20,-119
-41,1,112,60,5,-5,-52,-82
12,-2,-85,6,0,6,12,92
