Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
1,0,-30,-2,0,5,0,1
1,-12,1,10,-8,-7,-8,-5
1,-2,-14,-31,-10,-2,-6,-7
1,1,-31,3,-4,0,-1,0
-5,3,15,15,15,8,-3,-7
3,0,-10,-13,8,3,0,1
1,4,43,4,-13,-7,0,2
1,-6,-86,-1,-3,1,2,0
2,-4,3,-20,8,-2,-16,-10
-8,-1,53,35,-4,-2,-3,-5
-2,4,-30,10,-6,-7,0,2
-3,5,60,-21,1,-1,-13,-7
1,-20,-81,-12,18,7,36,15
-8,-14,-11,19,-12,-7,-7,-9
-6,-4,-38,34,-3,-5,21,17
3,2,-29,-23,-13,-3,3,4
-3,6,31,1,-4,-8,-8,-11
-4,-9,-10,-21,-12,2,2,-2
2,-5,17,12,22,2,-1,2
-5,-7,-34,14,26,14,-3,-6
1,-1,2,-1,-8,-2,-2,-2
2,0,3,-5,-13,1,-1,-1
-11,-12,-11,-11,-12,-11,-6,-20
3,12,29,3,-8,4,6,-12
-12,-19,-52,-14,-13,-10,-18,-16
0,6,37,-35,-20,-5,-30,-10
-1,2,15,3,1,-3,36,14
5,0,-1,50,28,8,5,3
3,1,-9,-5,-6,-8,-8,-1
-3,4,38,-9,0,-1,-6,-4
0,2,23,-44,0,-2,-2,-3
2,4,-24,10,7,2,-7,0
0,-2,36,-15,1,-7,-7,-9
-1,0,-18,37,6,6,11,5
-3,-8,-32,-20,0,-2,2,-1
-5,-6,18,-24,-9,-9,-6,-1
3,2,0,4,-7,-3,-6,0
0,2,8,1,-12,-3,-1,-5
-5,-1,13,-14,-9,-4,-13,-4
-6,-5,-26,-2,2,5,6,0
2,3,-9,8,-3,1,-3,-4
-8,1,19,-2,-5,-6,-9,-12
-2,-1,-14,-12,-4,4,-4,-3
-2,0,-15,-22,-10,-3,-2,-1
-1,10,55,31,0,4,-1,-2
4,-19,-92,-36,-12,-14,-1,0
-9,-2,18,25,3,8,4,-2
1,1,11,0,-2,-1,-14,-4
-1,-3,19,-23,-22,-14,11,-1
3,5,-25,-21,16,5,6,4
-2,-2,-22,-10,-14,-1,-5,-1
-6,-2,85,103,-6,-7,-3,-5
-5,-12,-55,5,4,1,-3,-4
-1,3,-13,-4,-1,4,1,0
-5,8,17,2,1,-6,-12,-11
-1,-9,-7,1,0,-1,1,5
-2,-3,0,1,-5,-6,-1,-8
-2,-5,-3,-25,-16,-14,-20,-2
0,-2,10,21,6,4,10,3
-1,4,-7,-1,-2,-4,-18,-10
-9,-9,31,17,7,7,-7,-6
-2,-1,-6,6,2,6,12,4
-3,6,13,-2,-8,-10,-9,-5
-2,-4,1,-3,0,1,-4,-2
-3,-2,-9,-8,-5,0,-5,-1
-5,2,74,3,0,1,-10,-18
11,14,-59,-36,-22,6,2,-16
8,-6,-4,16,3,-7,34,28
-12,-10,28,-34,5,-8,-11,-4
-15,-9,-46,35,5,-5,-19,-14
0,7,22,30,-1,10,3,-2
-2,-3,7,-17,13,1,-3,-6
3,-1,5,-4,-5,2,2,-2
0,3,2,-13,-7,-3,-6,-2
0,1,0,-15,-4,1,0,-1
0,3,4,33,-6,3,2,-1
-2,-8,-17,-39,-14,-18,-10,-6
1,8,38,-17,-1,1,0,-1
1,1,-93,-15,-16,-5,-16,-2
-11,-29,-72,-21,-7,-6,21,7
-4,-4,31,19,-3,-3,-1,-5
-1,21,14,0,23,19,18,9
6,0,25,-8,-1,3,9,13
-2,0,-2,38,24,2,-3,0
3,3,15,8,-2,-1,2,1
-3,-9,-43,-19,-8,-6,-1,1
0,-3,5,6,1,-4,2,-1
0,-1,26,25,-2,3,-3,-4
-1,-1,-37,-21,-12,-5,-2,1
-1,-1,-8,-15,-8,-4,0,0
-5,-3,7,-2,1,5,-8,-15
3,5,4,-2,2,11,10,6
-6,-5,7,1,0,-4,24,13
5,-6,6,-7,-9,2,16,25
0,2,-18,-2,6,-1,-8,0
-3,-3,36,7,-2,-8,10,6
-8,-9,-14,10,-5,-7,-6,-10
-1,-8,-29,-5,0,-1,-7,-2
0,2,-1,4,-5,4,-2,-1
-5,-1,17,7,-13,-8,-10,-1
3,9,-38,-38,2,5,2,-2
8,7,127,-19,34,7,7,6
-14,-40,-128,-30,-22,-9,-13,-13
-8,9,24,26,-9,-7,-8,-11
-2,5,38,5,-16,-2,6,3
-4,-1,-10,13,-4,-1,-1,-1
-2,-3,-3,28,30,11,-3,-4
6,2,6,-14,3,-1,-1,2
1,2,7,-26,-21,-11,-4,-1
0,-2,-34,-31,-34,-15,-11,-7
4,3,-14,20,-3,-3,4,8
-10,-6,6,5,19,-4,1,-2
-6,4,1,-12,6,11,8,-6
1,-8,-12,33,14,15,15,17
2,4,4,-21,7,4,-6,-1
-7,-5,60,2,-12,-11,-12,0
-2,-8,-88,-25,-13,-20,3,0
-4,-4,-10,-6,-15,-15,-16,-5
5,6,-13,-4,-7,-6,8,9
-4,3,16,-13,-11,-2,-4,-2
2,-14,-64,-5,2,0,-2,0
0,9,30,48,8,-6,0,-9
7,11,21,8,8,11,6,4
-3,1,16,-10,-1,0,0,4
4,2,26,-2,4,7,2,3
-3,-1,-19,4,-3,-3,-24,-18
-4,-7,-52,3,-2,-11,17,9
-1,-4,-1,-16,-5,-7,-1,1
3,3,4,-23,9,7,4,1
-1,-2,-10,-20,-11,0,0,1
-5,0,48,22,-23,-5,-12,-9
-3,-5,-74,21,62,19,1,-3
3,1,-26,-26,-8,0,2,0
-8,1,20,-1,-29,-15,-14,-7
-1,-4,6,15,6,3,1,-2
-4,-5,-8,3,-9,-9,3,-2
-3,0,39,42,11,-2,0,0
-6,-4,-4,-5,2,1,7,2
-2,0,-21,-9,-9,-3,-6,-4
4,12,1,-4,-9,0,-7,-2
2,-7,-8,-108,-29,-15,0,4
-2,-6,0,49,3,-9,3,-5
-6,-5,23,41,7,-3,-12,-16
10,4,-13,45,34,16,21,21
4,6,6,-19,-5,-5,-4,0
2,-4,0,-22,-7,-2,9,8
0,-7,-14,0,-9,-4,-12,2
-5,-1,-11,-21,-8,0,-7,-12
2,4,12,-10,-1,0,4,1
-5,-1,-39,1,1,4,-7,-20
10,-4,37,9,4,7,12,20
1,-1,-23,-20,-9,-6,-5,0
-4,1,-3,-16,-5,0,-9,-2
-10,-11,5,30,0,-1,-4,-4
-3,-3,-34,14,3,4,4,0
-1,-1,0,-4,0,0,-6,-4
0,-4,8,-1,3,7,-12,-9
-2,-2,-6,-16,-10,-7,33,3
2,7,13,-11,-2,6,-10,5
2,0,-6,7,3,-2,23,10
0,0,9,-16,4,0,-5,-4
-1,1,2,48,4,2,-2,-4
-3,3,31,61,8,-5,-1,-5
-5,-6,-52,-40,-4,2,-4,-3
1,1,-2,-4,-26,-14,-3,-3
-2,-3,14,0,22,8,-1,0
2,6,-14,18,10,7,3,1
-2,2,-4,-7,-14,-9,-5,-5
3,5,28,-27,-11,6,9,7
-9,-6,9,-1,-12,-4,-3,-2
1,-1,-56,5,6,0,7,2
3,5,76,-7,-4,-6,-2,0
-4,-13,-2,8,-10,-14,-8,-7
-8,-7,-23,-4,-5,2,-2,-13
-1,2,-9,-1,-6,2,5,8
-1,-8,4,-8,0,0,4,5
0,4,24,-23,-5,-9,-2,3
6,10,35,-15,2,4,0,0
