Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-3,-11,14,-4,-4,-2,0,3
-18,-32,17,-25,-7,0,7,13
4,-5,42,6,-2,-7,-31,4
19,27,-18,2,2,-4,-3,-19
-10,5,10,8,7,-3,2,-8
-7,-5,-3,15,3,4,7,16
2,18,-25,-11,-5,3,6,0
-11,-21,-10,-29,-11,-4,-11,-6
-3,-7,10,3,-11,-2,1,11
32,5,-15,5,5,-2,-6,-13
14,-5,9,12,14,7,43,17
-73,5,93,41,8,-1,-10,-30
3,-6,4,7,-9,-17,-41,-34
16,-88,-128,-63,-18,-14,4,7
-9,-14,-78,-17,0,0,-19,-14
6,-11,-16,-6,4,-3,24,6
-20,-5,-1,21,9,-6,-12,-23
-8,-21,-11,-11,-4,0,5,19
-19,0,7,-8,-2,0,-3,-23
-28,-32,31,-2,-18,-15,-23,-44
4,40,16,3,-3,-3,-1,-2
3,7,24,13,8,6,9,17
6,-10,8,9,5,0,6,16
-2,-16,-87,-12,-5,-1,-1,28
-28,-10,-12,-18,-11,-13,-37,-93
-14,30,-1,11,5,0,5,-7
-13,-22,-1,13,1,-2,11,9
-4,-44,17,6,-1,-6,-47,-24
22,32,17,-12,-3,2,13,15
-20,27,13,-16,-9,-2,5,11
18,-30,-2,22,13,3,7,21
44,8,3,-11,4,9,0,0
-29,17,2,-31,-13,-4,-9,-40
-37,24,-13,-17,-8,-10,-12,-14
-14,-25,-2,23,7,1,-2,22
15,9,4,30,8,-2,-2,-14
0,70,4,-19,-20,-1,2,5
17,8,6,-18,-5,1,3,9
6,14,44,5,5,0,3,41
23,-27,10,2,7,-2,-9,-37
-18,-22,-71,-29,4,1,-10,-39
-18,63,-46,-42,-22,-11,-3,2
-5,8,48,51,-2,-1,6,13
-13,10,35,47,18,3,-2,-23
-1,-57,-56,-10,-1,-5,-6,-5
-3,25,-13,-34,-17,-1,2,24
-21,-6,-48,-17,-9,-1,3,15
-16,2,-18,-45,-12,-9,-5,-19
18,-3,36,21,12,0,3,-2
-29,-5,5,10,5,0,0,1
5,11,48,26,2,-3,-12,-6
-11,-33,-42,-2,-1,-6,-6,-10
-22,35,-12,-1,2,1,5,12
28,25,9,-13,-1,0,-4,-1
-24,1,-12,-4,-10,-8,-5,-4
-13,-16,10,4,1,3,4,5
4,-31,-13,-21,-10,-7,-3,4
-3,34,5,6,-10,-4,-7,-3
-6,-8,30,-2,5,2,-1,-4
2,-3,73,14,2,5,0,3
-1,3,12,12,9,1,-1,-3
-5,-35,-102,-17,1,-2,2,6
12,-11,-91,-33,-13,-9,-4,7
13,33,10,9,3,0,-7,-13
-19,3,11,-3,-4,-5,-9,-19
-18,-2,41,7,-3,3,-3,-4
26,6,15,5,-1,-1,4,15
7,3,8,2,-2,0,1,11
-27,-4,24,-5,-5,0,-6,-11
27,-7,8,4,1,3,-1,-6
2,6,-2,-12,-4,-3,-4,-5
-60,-3,-15,-6,0,1,2,1
26,-4,14,10,4,1,2,12
-15,-1,-14,-4,-2,2,3,-9
7,14,-12,0,-6,-3,-6,10
6,9,11,-25,-19,-16,-12,-7
-2,-5,-10,5,-1,-7,0,-17
-20,-17,-14,34,20,2,-4,-4
