Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
2,11,-68,2,1,4,-2,0
8,3,5,-23,-3,-4,-2,-2
-2,-16,59,8,-5,-6,-2,-4
5,4,-60,-11,2,3,2,8
-9,-27,-29,-25,-13,-9,-10,-6
-1,24,48,10,2,0,-3,-6
13,24,4,14,6,7,10,18
-8,-23,11,6,0,-3,-5,-3
11,101,16,2,1,3,3,11
4,-83,-22,-6,-2,5,2,-2
-12,63,6,-1,-2,-5,-6,-6
-11,9,30,13,-1,0,-3,-9
3,81,24,10,3,-4,-2,7
-16,-28,-10,-7,-4,-6,-2,1
-3,-43,-28,-15,-2,1,6,4
-6,-21,10,-8,-10,-6,-11,-6
8,-7,0,-2,-6,-2,-6,6
-31,82,8,31,10,1,4,-3
44,-70,-20,8,13,5,1,17
-4,-4,-5,-6,0,0,-1,-5
-1,1,-59,-7,-4,0,2,3
1,1,11,8,2,5,2,-4
3,2,15,11,1,-2,-2,0
1,6,50,9,-2,-4,-1,1
0,6,44,-1,1,-1,4,-2
-7,-12,-95,-7,-2,-5,-8,-3
7,-34,-20,-14,-3,-2,2,2
-4,54,-22,0,1,-1,0,2
0,-20,-49,-1,0,1,4,1
3,17,35,12,2,-2,-11,-8
10,2,38,10,-1,0,0,3
2,27,31,2,0,1,2,-5
-3,-3,-31,2,-3,-5,-4,-1
-7,-65,-30,-22,-7,-3,0,2
-19,-13,-46,-10,-6,0,-3,-5
2,-3,1,2,-6,-2,1,4
-5,12,34,14,5,-2,-5,-5
5,9,12,10,4,2,2,6
-4,-6,-26,0,-7,-5,-1,-6
-5,-6,7,-9,0,0,-5,-1
-8,-6,0,0,2,-3,-8,-9
0,-3,11,6,-5,-1,-3,-4
9,-15,-79,-43,-13,-2,-5,-6
-8,-12,1,-18,-1,2,-3,-7
-7,5,14,13,1,-1,0,3
-2,-28,40,-1,1,-3,-3,-5
-6,10,23,21,7,0,-8,-11
-1,-8,-63,8,3,2,2,5
17,-34,-16,-7,-7,-6,-1,7
-4,-45,116,13,-2,0,-5,-8
-9,24,-95,0,-9,-10,-14,-16
1,-2,-64,-22,-6,-5,1,-2
6,15,26,-6,3,4,7,1
-2,4,39,0,-9,-5,-4,3
6,12,16,13,1,2,6,3
6,-6,-4,1,2,0,-1,1
-7,-8,-7,-7,1,-1,-1,-1
-8,-31,-50,-8,-3,-3,-8,-8
-11,33,66,11,-1,-5,-2,-5
-5,-56,12,-8,-7,-6,-8,-6
-6,-28,-105,-27,-13,-12,-8,0
-3,0,13,-1,0,-1,-9,-9
7,-1,35,7,1,1,-1,-2
5,26,35,9,1,-1,1,7
0,13,51,21,5,3,3,2
-1,-9,-35,-9,-1,-3,-2,4
-6,-6,-19,-25,-1,-4,-3,-7
5,7,39,13,4,1,8,3
1,-21,-13,0,-2,-2,6,5
-6,-7,-84,-17,-6,-4,-6,-19
16,5,25,12,4,4,6,8
7,51,41,13,0,1,-5,-2
-2,-7,9,1,-6,0,0,1
-3,-15,22,-2,-2,-6,-4,-5
19,33,-65,-22,-4,0,1,-3
16,-53,40,16,2,3,2,14
-6,-15,-29,23,4,4,0,-3
-6,1,-36,-19,-5,-4,-2,-3
-5,7,22,2,0,-2,-4,-4
4,16,24,-4,2,-2,1,1
-4,-8,-5,-11,-2,4,-2,-1
1,-16,-7,4,-3,-3,-3,-2
-15,11,-17,0,0,-8,-14,-10
8,13,3,7,2,2,2,-2
3,-10,19,-1,-3,-2,3,3
-4,11,15,4,-2,0,-3,-7
3,6,23,10,2,-1,1,-1
-12,-3,-17,-11,-6,-7,-2,-3
-12,-14,-1,-19,-8,-8,-13,-20
3,-5,-28,8,0,0,2,-3
-7,-4,-26,-6,-2,2,-1,0
4,21,43,-6,0,-1,2,2
0,-26,-5,-6,-4,-4,-2,2
-1,-4,13,4,2,-4,1,-2
-1,30,16,28,6,0,-8,-9
1,6,-23,-17,-1,0,-2,-4
1,-27,-37,-22,0,-2,0,1
3,6,11,13,-7,-4,1,3
-5,-9,3,-5,-1,-4,0,-4
0,-11,13,-1,1,1,3,-13
-6,-1,-6,10,2,0,0,-8
6,-5,-33,1,-2,-1,1,9
-12,-45,-42,-16,-4,0,3,-1
-13,94,21,2,3,2,0,10
-4,64,11,3,-4,-2,-7,-14
12,-41,31,10,0,1,4,3
-7,-4,23,1,-3,-2,-2,-15
5,-31,-3,-16,-6,-2,-6,1
-3,32,21,10,-1,-5,1,1
-22,-43,-49,-6,-2,-5,-6,-26
14,5,-25,5,3,2,-2,10
-12,-5,3,-8,-5,-5,-10,-9
2,28,16,-16,1,0,3,-1
7,22,37,15,3,1,-2,-5
-8,20,35,-7,-5,-3,-10,2
3,6,-49,7,4,3,6,-1
-7,-36,-22,-10,-6,-1,-1,2
-3,-17,-52,-12,-9,-4,0,-4
-7,-16,60,-3,0,-5,-8,-18
9,41,127,27,4,2,0,6
-1,-2,-120,-8,-6,-3,-5,-1
-10,-31,6,-8,-4,-7,-3,-5
-4,8,31,10,1,-1,3,-1
9,-8,2,-3,7,3,10,16
6,4,9,-9,-10,1,4,13
-5,16,51,12,3,-2,4,-5
-2,-16,-13,-12,6,0,5,11
1,0,-49,-15,-6,-6,-6,-4
9,-65,-31,-4,3,0,2,2
4,-22,8,4,-2,-1,1,-3
-4,-10,21,6,-4,-2,-1,4
4,2,-12,-2,1,-1,4,4
-1,6,-11,4,-2,-5,-2,-8
0,-2,21,-17,-8,1,1,-2
4,-57,30,1,1,-4,-2,-7
-15,-33,-75,3,2,-3,-2,-7
-14,-52,-113,-25,-9,-8,-2,-10
5,20,44,-3,-1,-2,-4,11
-2,-10,33,7,0,2,2,7
14,21,57,3,9,0,4,3
1,-1,30,-10,1,0,-8,-3
6,6,-3,0,-5,-6,2,6
7,24,-13,12,5,2,2,8
0,-10,-12,-4,-4,-2,0,-5
3,10,-12,2,1,-1,2,1
-12,-13,-21,-13,-12,-8,-8,-1
3,-4,23,14,4,2,7,2
-11,-72,38,18,-4,-6,-15,-25
6,52,-75,-36,-5,-4,-3,4
-2,-5,-8,-16,0,-2,-3,0
2,23,54,16,-1,-1,2,1
-3,-14,-49,-26,-6,-4,-3,-4
-6,-46,10,-7,-3,-4,-8,-9
