Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-1,4,11,-7,-7,3,0,8
-2,2,23,-72,-21,-6,-10,-7
-4,-4,-25,63,-5,-8,-6,8
-1,-3,-2,15,24,0,2,1
-3,-1,7,-86,-12,-6,0,1
-5,-7,42,56,-7,-5,0,-14
-29,-1,-12,-82,-17,0,-6,-5
5,0,-10,36,-19,-5,0,12
8,-2,-10,60,15,5,-5,-2
4,-2,-19,2,-1,4,7,29
-9,-15,3,-16,-3,-2,12,-4
2,2,2,-22,-8,-4,-13,-29
1,-6,-14,103,52,10,8,2
2,11,13,-29,-1,4,9,5
-2,-2,-52,-14,-3,-3,-1,2
-5,-25,-8,-33,-14,-6,-7,-1
-8,-11,31,3,-10,-6,-8,-9
2,-2,-29,-4,-1,-6,-3,1
2,7,8,-54,-4,-7,-1,0
-4,0,-1,53,1,-4,-7,-10
-4,6,-7,-16,-21,-5,2,-29
0,-10,9,18,1,5,4,9
-5,-1,-10,45,25,-1,-26,-47
6,-2,-6,-17,-9,-14,-23,0
-7,-1,0,-13,-4,-2,5,11
-4,0,3,-7,-5,-1,7,11
4,-2,-7,-2,-1,3,9,12
-5,-2,-4,-53,-13,-3,2,7
2,7,8,-9,8,0,-16,-3
-3,-12,-6,31,-9,-4,0,3
-2,3,15,-105,-6,-5,1,-2
6,5,11,67,2,-5,7,50
13,-4,-27,28,-5,8,16,23
-13,-9,-21,-13,-7,-14,-33,-81
3,-2,13,-36,-2,-5,-13,-13
-10,4,7,35,13,7,2,5
-38,-20,8,42,-19,-12,-11,-6
1,-9,-20,-7,2,-1,6,6
3,1,-3,-6,1,3,6,10
-6,6,4,-13,-3,3,-5,-7
-3,-4,-2,-12,-5,0,3,9
10,1,-1,-25,-26,-9,0,9
14,1,35,64,34,5,-10,-29
-3,-3,-19,-19,-2,-4,-8,24
-10,-4,-32,-75,-4,-1,-19,-37
-5,-1,10,80,7,0,15,-3
2,1,2,-4,-11,-6,13,24
-2,2,0,-29,-9,-3,10,44
5,-4,-25,-9,1,-2,-8,-43
-9,-5,18,52,0,-7,-32,-75
5,1,-15,6,7,3,3,12
2,3,10,-51,-14,0,4,19
-5,0,2,23,6,-5,-3,8
9,-2,-13,1,10,1,4,10
0,-8,3,-7,-5,-1,-4,2
-3,-4,9,-10,-13,-6,1,3
1,-3,2,-99,-12,-2,7,16
-2,2,8,1,-19,-4,-1,-13
-4,3,-1,-19,10,0,-10,-6
5,-1,-27,101,24,4,6,29
-4,-13,0,-39,-11,3,4,-26
-9,-13,-3,14,-14,-1,-4,-16
3,-4,-61,37,17,2,-4,0
-3,1,13,-23,-8,-5,-7,0
1,-1,36,-14,-7,-3,2,5
1,-5,2,-68,-24,0,6,8
0,-8,-7,22,-5,2,11,5
-3,-8,-24,2,9,-6,-12,-28
-3,4,-9,-6,-2,-7,-14,-6
-4,2,21,-2,0,5,9,12
3,-4,5,-34,-7,-1,10,41
1,-6,8,42,-19,-6,-11,-74
-2,-8,-36,-5,14,0,-6,-14
-2,12,18,-80,-10,-2,-1,16
1,-1,6,19,-21,-6,-7,-10
0,-4,-43,42,30,7,1,10
-18,-10,-8,-4,-5,-2,1,4
2,0,-6,-36,-1,3,4,25
0,-1,31,27,-5,-2,13,50
4,3,13,-8,-5,-1,-8,-41
-6,3,4,16,2,1,-37,-30
-6,4,-40,-61,0,-7,-8,-37
3,-1,-10,-53,-33,-10,20,8
2,-4,8,127,30,1,-3,12
1,-7,-7,1,11,7,8,17
-2,-5,-30,-44,-3,4,17,32
-8,-7,-3,64,-7,-4,-3,-6
-10,-6,-6,-11,-5,-8,-18,-45
8,12,31,-110,-41,-6,-17,-24
-6,-12,-23,75,31,2,4,5
-4,-2,5,5,6,-3,3,8
0,4,0,-10,-6,0,3,8
-7,-7,-22,-20,-7,-3,7,15
0,3,18,-23,-7,-4,-6,-12
7,-2,-1,16,0,-5,-6,-8
-7,1,8,7,-1,3,0,8
6,2,1,-7,0,4,9,24
-5,-6,-3,9,2,-2,1,-17
-4,0,0,-27,-3,0,-8,-16
-4,-8,-41,-7,-6,-7,-17,-17
6,13,12,54,-14,-7,7,8
-1,0,40,-45,1,0,1,17
-5,-8,-25,24,44,1,4,8
0,-3,-25,28,14,6,0,-11
0,-7,1,-6,-10,3,1,0
-3,-2,4,21,-9,-9,-5,2
-1,2,56,-30,-8,-7,-1,1
-4,-6,-20,-8,-14,-6,-5,-4
-4,6,9,22,5,3,5,0
4,8,-14,24,0,6,15,47
7,-11,-12,-30,4,6,3,19
-10,18,33,28,-8,-9,-23,-51
-6,-17,-61,23,8,-7,-5,1
-1,-8,-13,-24,3,-2,-17,-36
6,1,11,-14,0,2,-16,-9
-13,0,7,-13,-6,-2,16,5
7,7,5,-51,-7,5,27,28
-6,6,2,29,-11,-6,0,-4
12,8,6,-3,4,-3,-26,-6
1,0,9,32,4,-5,-11,0
5,6,-12,-48,0,-2,6,5
-5,-12,-9,18,-6,-6,0,3
-10,3,6,-3,0,-2,3,1
-2,1,2,-5,-5,1,10,12
0,-5,-27,-11,-3,-1,2,-3
-3,1,7,10,-5,-2,-15,-9
-3,3,29,-128,-38,-11,-1,29
-1,-8,-42,127,63,9,3,-51
-10,-3,31,-1,4,-3,-43,-64
0,-4,10,-32,-8,-12,2,-2
-2,6,31,-58,-18,-2,29,15
4,3,-22,6,3,2,4,17
8,-5,0,64,-8,0,7,22
-9,-8,-9,-11,-7,-3,-12,-12
-8,-4,-19,-3,-10,-5,-6,5
9,4,-1,10,4,3,2,7
12,3,-22,-21,4,3,-3,-8
0,1,50,-3,2,2,0,-4
-40,-9,11,8,-12,-7,-8,-7
3,2,-24,3,-7,-1,1,-1
-1,-4,-5,-3,5,2,1,2
9,3,3,-7,4,5,14,30
3,22,18,10,-20,-14,-9,54
-17,-18,-4,0,11,0,-10,-85
4,2,-9,12,-3,-5,-15,-65
2,2,0,5,1,-4,-6,-8
-5,-8,-10,1,-10,-9,-9,6
-1,2,3,-6,-8,-4,-1,11
1,8,10,-5,0,2,3,10
-7,-5,-9,-94,-7,3,12,10
4,-5,-7,95,-3,-7,8,13
-5,1,6,23,2,-6,-7,-7
-9,-15,-7,-13,-3,-8,-30,-25
16,-2,-2,-27,-5,-1,-4,-4
4,2,-9,-64,-7,-2,28,6
-9,1,2,86,4,0,-3,2
-7,-2,4,-17,1,-2,3,0
2,-10,32,-3,-6,-7,-1,6
-1,-2,2,42,-6,-4,-16,-9
2,4,-16,-125,-17,-4,-9,9
4,-12,-30,36,24,7,12,22
-6,1,-2,-96,2,1,-6,-60
-7,-15,-4,108,-4,2,1,27
0,0,2,10,0,0,-1,-13
-6,-2,9,-38,-18,-3,-9,-12
1,0,-9,-4,12,-2,-5,-4
-1,3,9,34,-3,-2,4,9
1,9,-9,-18,-6,-7,11,26
-6,-8,-13,-9,-3,3,4,-4
15,-9,31,-4,-1,0,-16,-13
-1,-9,-33,-23,-11,-5,-6,0
-1,-4,-36,-57,-4,0,5,5
-6,3,3,-11,-3,-2,0,-1
-6,-1,2,-26,3,10,6,3
2,-9,10,28,-6,-5,6,8
2,-1,-7,22,13,-6,1,10
-14,-5,-2,-4,-2,-6,-9,-27
12,0,6,-1,-9,-7,-2,6
6,-2,10,-13,-4,0,4,17
-15,1,-1,-128,-18,-2,-9,-16
-5,-6,-21,127,32,7,3,-33
6,7,5,-2,10,8,4,-2
-11,-4,-5,-14,0,3,-1,23
-3,0,-11,-8,0,-3,-14,-18
1,-5,0,-26,-13,-5,-9,-3
-4,-14,-1,-78,-16,-12,16,34
9,4,9,49,10,3,16,27
-3,-3,0,-4,-1,1,-9,-72
-8,0,-2,-24,-12,-4,-21,-23
2,-4,10,-25,11,-1,-4,-7
-1,4,-2,-5,-1,2,5,9
3,-4,-13,24,-15,-5,2,21
0,-7,3,-34,24,13,8,-7
-8,-2,15,10,10,0,-7,1
-7,1,10,-11,-11,-1,-9,-27
-1,1,4,19,1,-5,-2,1
5,-2,-23,-80,-21,-3,5,10
-3,-4,-10,-65,-18,-5,4,16
4,3,-1,84,27,7,-2,-27
-2,-2,9,3,0,-8,-18,0
1,2,17,3,-1,-3,-2,12
-16,-1,-10,-17,-9,-5,1,-7
-1,1,-5,-19,-10,2,3,3
5,0,24,4,-5,-1,1,8
8,-5,-4,-69,-5,-5,-2,3
-7,-8,-4,29,-6,-7,-4,4
0,-5,-42,28,33,10,11,12
5,4,-5,11,-6,-4,-5,-17
-8,-10,-1,-25,-7,-3,-5,-3
-12,-7,20,-6,-10,-10,-10,-3
-2,5,0,-10,2,3,2,-1
-4,-3,-3,-8,2,3,7,3
-3,4,17,-48,-14,-3,2,-7
0,-9,2,54,-8,-11,-5,0
10,6,-10,-41,-2,0,-6,7
-1,1,3,92,11,1,1,4
0,-5,1,-19,11,2,7,24
1,-2,7,-10,-6,0,5,-20
-7,-4,-9,-42,-15,0,1,-11
2,8,2,71,11,3,-2,-33
8,-1,3,-22,2,10,12,41
-3,-10,-6,6,14,0,-11,-3
-10,-2,15,5,-15,-19,-28,-90
-28,1,2,0,1,-4,-5,3
4,5,-3,-1,10,6,13,13
-6,1,-4,-13,-5,-3,11,11
6,-3,-3,-37,-11,-5,3,7
6,0,9,16,-11,-1,5,14
2,0,7,-28,-28,-4,4,8
2,3,3,52,39,14,10,24
-4,1,5,121,11,-3,-11,-32
-5,-5,-24,-66,13,3,-4,-20
19,-1,-5,-2,-7,-5,-1,8
-20,-20,-5,-32,-6,-2,-3,6
-2,-3,29,-16,-18,-10,-2,4
-6,3,26,-85,-18,-4,1,11
0,4,20,81,2,7,8,10
-7,-3,-19,-35,23,5,-3,-34
0,-4,12,68,-5,-4,0,2
9,4,31,39,-19,-9,-5,3
-3,-7,-50,-81,17,0,2,-11
-7,-7,-50,-24,-4,2,-6,1
-6,-5,14,-14,-10,-3,-4,2
3,1,4,-14,-15,-6,-9,-5
-16,-3,11,-63,-12,-3,-5,0
-4,-11,-18,73,19,3,3,0
-2,-2,-5,4,-1,-1,-2,3
6,13,-5,-30,-13,5,14,5
5,-7,26,-8,4,1,9,44
-6,-2,15,5,1,-13,-31,-48
-10,1,20,4,-7,-9,-26,-51
-5,0,-22,-34,-14,0,1,2
-6,1,-8,-19,4,3,4,6
11,1,-9,-3,-4,-2,7,32
12,14,3,39,-2,-1,13,21
5,-2,-11,31,12,3,8,-6
-10,-5,-1,-55,-10,-2,-18,-46
2,1,-4,3,11,0,-7,7
-8,-3,0,6,-5,-1,3,2
-12,-4,2,-105,-13,1,1,10
1,-1,-8,40,0,-4,1,5
6,3,16,78,-28,-8,-10,-4
12,5,-4,76,41,6,-5,-7
7,3,6,-21,-6,0,0,2
-9,-11,-11,-51,-7,3,3,4
-5,-5,-15,19,-12,-6,-1,-4
2,0,5,-12,-2,1,2,11
2,4,4,-5,-14,-1,-1,10
-7,-13,1,-28,-7,-4,0,-19
0,-3,-32,-74,-7,1,-11,-38
8,6,4,94,18,-4,-1,10
1,7,14,56,12,2,4,7
-1,4,3,-13,-2,4,15,26
-3,-5,13,-13,-16,-2,0,-26
10,0,17,-19,-19,-13,-19,-12
0,-6,-16,16,9,-1,-2,29
-4,-5,-16,-18,7,5,18,20
-5,10,-5,-15,-12,-5,-7,-36
-12,-22,-7,-37,-3,-1,-9,-16
11,1,-22,3,-6,-9,-4,9
-13,-17,-9,11,-1,-4,-3,-7
-2,-1,-2,-4,-6,-3,0,1
6,3,3,-1,-1,2,6,15
1,-1,2,0,-1,1,0,-6
-27,2,5,18,-6,1,0,-7
-4,-3,14,-21,-2,-1,-1,-5
3,2,-15,-33,-59,-14,1,10
7,-7,-50,127,88,12,-5,-4
-14,-2,35,-33,-7,-11,-14,-15
4,-5,-80,-33,-13,-2,0,-1
-6,-6,39,-40,-16,-1,0,6
-2,-2,20,-51,-16,-2,3,14
-10,-1,-10,41,8,-1,-3,-59
4,1,10,1,3,-3,-7,19
-2,9,9,-92,-25,-4,1,5
-2,6,0,-18,9,1,-4,-40
-1,-6,-27,127,25,3,-2,-5
1,2,-5,-24,4,1,-3,6
1,1,33,-54,-26,-4,-1,9
-5,-6,-21,-23,-22,-6,0,2
13,-6,-24,40,40,11,10,7
0,-17,-75,-37,-18,-7,-6,1
-3,-4,32,-17,-10,-4,-2,19
-5,8,11,-1,-6,-6,-1,9
0,8,15,3,-2,5,4,-50
-2,-10,-5,7,-1,-13,-5,5
1,-1,5,10,13,7,-1,14
-33,-20,-7,-9,-11,-17,-72,-24
7,0,1,6,-4,-10,14,-40
13,6,0,0,4,6,36,19
6,3,1,2,1,0,19,18
-3,0,9,4,0,2,6,6
-4,-6,-14,-2,-6,-7,-7,7
1,0,-10,-59,-9,-3,-3,18
-10,2,24,-55,-32,-9,-9,-64
-3,-4,-26,97,16,-3,-4,-6
3,1,-10,-10,41,10,7,11
-6,-16,-20,-36,-11,-1,-3,-3
