Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-2,3,33,16,0,-3,-22,-9
5,7,49,14,-3,-1,21,4
-4,-13,-83,-13,-2,-3,-6,-8
-2,-14,-14,-37,-7,7,27,19
-1,-2,-14,37,4,-2,-13,-3
-5,-3,-36,3,3,-4,-7,-7
-4,9,2,0,2,1,0,-4
0,-6,7,-1,14,15,3,3
1,4,18,-24,-19,-10,-7,-4
-3,2,17,12,-25,-14,-9,-6
-6,-10,6,28,24,7,-1,-9
0,1,-31,-5,9,11,11,9
3,1,1,-11,-7,-1,7,7
3,5,47,-10,-4,3,5,3
1,4,-9,-47,-9,0,5,6
3,1,23,2,-5,-1,-3,3
3,0,16,-7,-4,-6,-4,-3
-5,-2,-23,13,-10,-13,-17,-13
0,-5,4,0,-15,-9,13,4
-3,-1,0,-8,4,-4,-2,-5
-8,-2,-9,5,1,3,-8,-15
7,7,1,2,1,4,-14,-6
5,2,-19,-5,-2,7,12,4
-7,-12,15,17,2,-9,-9,-10
-3,-1,0,6,4,3,1,-2
1,1,16,-15,3,-2,0,-3
-2,-3,-11,-11,-6,-8,-1,-3
-2,3,45,-26,-27,-8,-7,-14
2,12,-11,78,14,6,-6,6
-4,-19,-65,12,23,-1,21,13
3,-1,-4,-4,-8,-6,-3,-2
0,2,-1,-1,-8,-3,0,-1
-2,-2,2,-22,-20,-4,-2,-2
-2,0,-5,-6,10,0,-3,-2
0,4,45,18,28,10,-18,-14
0,-14,-58,14,14,2,10,9
-11,-15,-49,-20,-20,-11,-4,-3
-4,-4,40,2,-5,-5,-9,-1
-11,-4,0,-6,-5,-2,-4,-22
18,15,18,-16,-12,2,22,16
-2,3,-8,41,6,0,-10,4
-5,-10,-8,5,30,12,32,16
-1,2,65,20,9,6,3,6
-9,-2,-55,-47,-13,-6,-3,-8
0,-6,-43,-12,-5,-10,-7,-5
0,2,37,2,-3,7,-3,-4
0,-1,3,13,-5,-1,0,-3
-2,0,2,-19,-14,-9,-9,-9
0,1,-25,-51,-18,-17,-37,-14
7,11,81,28,4,9,24,9
-7,-12,-28,46,50,18,6,0
-5,-25,-99,-22,1,-3,-13,-5
2,0,21,-29,-10,-6,-6,-4
0,0,-2,-17,-6,-2,-7,-5
-3,0,13,-12,-6,6,1,-3
1,-3,1,13,-4,-7,-5,-4
-3,-7,-7,-17,-1,0,-1,-5
-1,0,0,15,5,3,3,-6
1,5,4,11,13,16,2,7
-6,-11,3,6,-8,-9,-4,-2
0,-5,0,-16,7,5,9,4
6,-2,5,-4,-4,-2,16,12
-3,1,-6,-5,-11,-9,-9,-12
-1,3,30,-10,-7,-4,-2,8
-3,2,-33,19,16,9,-5,-7
-6,-2,-36,-16,-15,-11,-6,-7
-4,-7,-23,-18,-14,-2,-1,-4
-1,-2,15,19,41,16,3,-1
-4,1,7,1,0,4,-2,0
-1,-1,17,-7,-7,-4,-7,-2
2,-3,-15,-10,-12,-7,-3,-2
0,0,-15,5,-8,-7,-1,-2
1,3,16,1,-10,-10,-2,0
-2,0,9,-2,-9,-1,-1,-3
-5,3,-5,-13,20,8,6,-2
2,-2,51,6,7,2,0,0
-7,-19,-128,21,-7,-2,-6,-4
-5,3,18,27,5,-1,-1,2
4,10,31,-69,-18,-4,-7,-4
0,0,6,49,-7,-12,-8,-13
-1,-3,-1,17,24,4,3,5
1,1,2,-27,6,7,0,-3
-2,0,6,-10,-8,-3,1,0
-3,-3,-39,-11,-9,-7,-4,-7
2,3,25,-7,-5,0,0,-12
8,11,15,-17,-1,5,3,11
-2,-6,6,36,-7,-7,26,10
-15,-21,-58,6,-10,-10,-5,-4
0,10,33,15,14,6,-1,-2
1,-3,21,-8,-3,-1,-2,-1
2,1,0,-13,6,3,-3,-1
5,3,3,-7,-1,1,-6,-1
0,1,-2,-2,-5,-3,22,7
-1,1,3,-1,-1,-2,-1,1
-2,-4,-5,0,-3,-3,-5,-6
-1,0,-4,0,-1,1,-2,-2
-7,-7,-12,-14,-15,-16,-27,-20
-4,2,5,-14,-31,-18,-21,-12
-1,-3,32,-9,-19,-12,-1,6
3,0,-32,8,35,21,26,13
0,-1,46,-8,19,11,4,-1
-7,-12,-128,-17,3,6,10,-3
-2,0,55,-2,-17,-15,-3,6
-7,-8,7,-8,-21,-12,-13,-6
2,7,47,6,-9,-1,-5,-1
0,0,-44,-31,-9,-5,2,2
-1,3,32,1,-37,-17,-7,-7
-4,-12,-45,26,36,13,2,-4
1,7,19,12,20,9,1,-2
0,0,8,-17,-16,-10,0,-2
-8,-8,-7,6,-6,-3,-2,-15
2,3,25,52,24,3,8,7
-4,0,-50,-5,2,1,-6,-8
-2,0,10,-8,-2,0,-2,4
-1,-10,-10,-15,-10,-4,-14,-5
3,4,2,3,-6,-6,-11,-7
3,9,48,0,-2,3,23,16
-5,-8,-23,-2,1,-3,-6,0
-3,-11,-27,-19,-12,-5,-5,-4
-2,5,5,4,-9,-5,-4,-2
-1,-1,-11,-13,2,0,-12,-9
-1,-5,20,5,1,-4,23,7
-1,-7,-5,1,-1,-2,0,2
-6,2,9,11,-1,6,-5,-5
5,11,2,4,2,5,3,4
-5,-3,-8,-7,-3,-8,-5,-4
2,0,-6,-1,-8,-4,0,3
-9,1,-8,-58,-31,-16,-4,-9
-4,3,37,49,3,-2,-15,-5
-3,-7,30,37,60,28,10,8
-1,-8,-100,-21,1,-1,-2,1
-2,-12,-6,-22,-11,-4,-6,0
-3,-2,29,11,-26,-10,-5,-4
-3,5,-11,-11,-30,-8,3,6
1,0,20,-21,6,-2,-3,-1
-2,-2,-1,-22,1,-1,-3,-2
-3,1,-22,-1,-7,-11,-1,2
-1,1,-1,1,-1,2,-28,-12
0,-2,-35,-6,-4,2,17,10
-2,-6,-12,12,11,7,-1,-5
5,7,88,11,11,1,25,10
-2,2,-20,-44,-20,-4,-1,0
-9,-14,-43,17,0,-12,-14,-7
1,-3,16,2,6,5,-3,1
-3,3,18,3,-5,-2,-3,-3
3,1,-6,-4,0,1,3,5
0,0,-42,-13,-1,2,0,-6
-7,-2,21,-2,-9,-9,-2,-2
-5,2,2,-5,-11,2,5,-5
4,4,41,18,6,-3,0,7
2,-3,-14,-3,4,-3,-1,-7
5,-7,-45,-16,-5,-6,-4,5
-5,-7,22,19,2,-1,-2,-7
-5,2,14,-7,10,1,-14,-8
-3,2,2,-1,3,5,18,18
2,0,-17,10,3,0,13,0
-5,6,28,-42,-1,3,-1,-5
5,-2,-50,39,16,6,8,6
-7,-10,23,-21,-46,-27,-20,-6
-3,-7,13,16,-8,-2,-3,-4
-1,1,-103,-8,40,25,8,-2
-3,8,2,-3,7,4,-4,-6
1,1,19,0,-11,-8,-6,-2
-1,-12,12,4,-5,-5,-5,-5
0,2,2,-46,-17,-5,-4,-1
4,3,-12,6,-22,-12,-1,1
-2,5,58,22,7,-3,-1,1
-4,1,4,15,15,4,1,4
-2,-9,-29,-13,-13,-6,-3,-1
-4,1,4,5,-14,-8,-9,-6
0,-2,-2,-3,8,0,2,-1
0,1,0,-4,6,3,-2,-7
2,2,9,-5,-3,6,11,6
-3,-3,15,4,-6,1,-3,0
