Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-6,10,70,5,1,8,-1,-1
2,28,35,-34,-2,-3,-16,-10
-21,-7,-50,-18,-20,-2,1,11
-6,-4,-11,-43,-26,-5,4,13
-5,38,18,-47,-26,-16,-9,-3
18,-17,-3,85,-5,-1,1,-8
-13,7,4,-16,42,11,-3,0
6,-17,-11,-33,-7,1,3,11
-8,-13,14,-9,-10,-6,0,-13
-10,-32,-1,-4,-9,-3,-10,-18
-4,7,3,-2,-6,0,0,11
-3,8,15,3,-4,-4,-1,-2
3,14,3,-40,-28,-6,2,45
-29,8,3,76,3,8,18,33
1,0,6,-78,-12,3,-11,-12
7,9,41,127,-6,-2,7,20
6,-6,-17,-127,-37,-14,-7,22
7,0,-47,127,89,14,5,20
-17,14,6,-21,0,5,-22,-73
-98,2,23,-25,0,-3,-8,-41
56,-12,-12,6,-21,-13,-5,9
-25,-51,-32,-30,-8,2,-7,-3
3,0,16,-11,-11,-7,1,8
6,21,21,-3,-8,-3,1,6
16,66,82,-22,-65,-9,18,4
66,-50,-64,98,100,18,-43,-128
-1,-35,-75,-29,14,-12,-66,-61
-77,-30,14,-5,-5,-2,-4,9
-24,-18,19,-11,-8,-3,26,47
18,5,-1,-3,-7,-2,16,48
-26,18,5,-104,-44,-17,18,48
-2,6,16,127,-64,-11,13,35
81,0,-24,28,127,42,-36,-85
-21,-36,86,-93,-22,-19,-5,-47
-5,-45,-121,15,22,3,8,16
-46,17,26,26,-36,-10,-7,-17
1,2,-43,-29,23,7,8,21
2,-13,33,62,-10,-2,-2,9
-49,-12,-10,-12,4,-1,-2,-33
4,-15,-1,-6,-12,-6,-2,8
-12,3,-9,1,-5,-1,0,6
-2,28,21,-4,-7,-2,-1,5
-5,-12,-23,3,-2,-1,1,3
-3,12,0,-2,-2,3,3,-1
5,5,-6,-1,0,3,-1,47
22,12,14,-22,-8,3,28,45
-2,4,3,-6,13,1,1,4
-6,-18,12,-10,-14,-3,-6,5
4,14,9,-38,-14,-6,0,0
-1,10,6,-24,-62,-16,-3,-1
1,-32,-49,109,73,16,3,1
4,1,14,15,16,9,6,-7
22,-27,-20,-35,6,-8,-24,18
-41,-17,4,5,5,1,6,-4
