Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
23,-5,-12,-4,2,-1,0,7
46,14,-1,-3,-3,-4,-2,4
-22,-16,6,4,2,-1,3,3
-16,-18,0,-2,-4,-5,-1,-7
-4,10,9,-3,-3,0,5,6
13,-4,-9,0,0,0,-5,-14
20,8,-2,3,1,-3,-7,-1
7,-6,-16,-11,-3,-1,9,13
-56,-12,15,28,12,3,-5,-4
30,-9,-16,-9,3,-5,-23,-9
16,13,-16,-21,-8,-3,0,9
15,-4,-2,20,5,-1,-5,-2
-19,-21,-7,-1,0,-6,-13,-36
23,4,13,-2,-8,-7,3,7
-4,9,-15,7,-4,2,3,6
-33,-6,3,3,7,6,4,-9
7,-11,3,1,4,0,0,5
9,0,-12,-14,-13,-10,-11,-3
-27,-27,2,-17,-17,-7,-3,-4
94,0,-4,-8,7,5,6,13
-31,-17,-15,5,11,1,3,2
-77,2,-2,1,2,5,1,-17
38,-15,-8,-9,-7,-3,-6,-28
12,13,-1,-7,-10,-4,-9,-5
-10,0,-1,2,2,-3,-4,2
26,3,15,17,3,-6,-2,2
5,19,2,2,0,2,2,2
-21,-1,5,-5,1,1,0,0
23,-9,-7,-2,-7,-6,-2,13
-18,3,-16,-4,-4,-6,3,3
62,3,21,1,-7,0,-3,-12
-1,6,-2,-9,-5,0,2,2
-19,-9,-5,-1,3,-3,-4,-8
20,-11,-27,-11,1,0,0,-4
23,7,18,-2,-2,-1,0,8
27,5,-5,15,1,-1,3,3
-14,-3,-1,-11,-10,-2,-1,-4
0,-10,-12,-6,1,0,1,2
0,-28,-2,-5,-6,-3,-3,0
-18,13,0,-3,-4,-3,-7,1
70,15,8,1,-3,2,-2,2
18,11,1,0,5,4,2,3
-92,2,-2,1,-3,-3,3,16
12,-33,-4,-4,3,1,9,-10
9,-20,-9,2,2,-3,-11,2
-3,1,-4,1,-6,-4,4,4
8,2,-4,-12,1,1,7,5
-13,-17,-9,-5,12,7,11,7
8,-11,-11,22,-1,-1,2,5
11,10,13,-7,-6,-2,-4,1
-94,-49,-8,-15,-10,-5,-8,-21
16,37,20,10,6,2,2,-5
21,9,-38,-17,-8,-1,4,17
61,16,4,3,0,3,10,27
-122,-34,3,5,-1,-4,-10,-55
17,-6,-21,-8,-7,-6,-11,5
14,23,4,-3,2,-4,3,5
-35,-28,7,-2,-3,-1,-7,-12
22,-10,-2,-5,-5,1,-5,0
26,13,-2,-3,0,-2,-10,6
4,13,-1,0,-4,-4,10,11
4,12,0,-3,0,-2,6,15
30,6,4,12,-1,-2,-10,-8
-48,-23,-7,-6,-1,-4,-20,-23
10,-5,5,1,-4,-4,-5,-4
6,-20,-18,-4,1,-2,1,1
-17,6,9,-3,-4,1,1,-10
28,14,5,-7,-3,2,1,2
32,-17,2,8,2,5,7,8
-6,-4,12,11,-1,3,8,5
-75,-15,-12,-2,0,0,-7,-14
2,9,3,12,7,1,-16,0
4,6,15,-5,1,2,-2,-5
46,-9,-1,-1,-3,-6,7,12
-1,-3,-23,-9,-5,1,10,9
-27,-20,-2,0,-9,-4,-9,0
6,-4,2,-5,-5,-10,-22,-9
8,-17,-15,-11,-7,-4,-4,-9
22,-10,6,6,4,1,9,15
31,62,20,-3,-2,3,5,5
-53,2,12,-2,-4,-1,-5,-22
-42,-12,-16,-5,-2,-2,3,5
-5,-14,-7,-5,-11,-5,-8,-5
11,-10,-4,-1,0,-3,-3,4
24,-9,3,2,2,2,3,9
40,33,-4,8,-7,-2,0,13
-49,-72,-25,-21,-7,-4,-5,-3
-78,10,-7,-9,2,2,-8,-31
-4,-22,-8,-7,1,1,2,-4
2,-15,0,2,-1,-1,0,1
25,2,11,23,3,2,20,2
2,17,6,1,-1,-1,-2,13
-63,-5,1,-13,-7,-8,-29,-18
20,-29,-5,3,7,3,-6,-7
-14,-13,-8,-4,-4,-7,-3,-11
1,1,0,-4,-2,3,8,3
-2,11,-1,1,-4,-1,4,2
44,6,10,3,-1,-6,-13,-3
-9,-20,-7,-8,-3,-1,1,11
-35,-24,-3,-9,-5,-5,1,-3
-23,8,-5,3,6,1,-2,-15
-6,-6,-7,-5,-7,-5,1,1
12,-13,-20,6,3,2,7,5
28,6,36,19,1,-1,-1,0
28,7,20,1,0,-3,-2,6
-68,-29,-21,0,0,1,3,-3
-31,1,-27,-25,-8,-4,-6,-17
11,20,1,5,-2,-7,-4,-5
-15,-3,11,6,2,2,0,6
9,-28,-10,-15,-11,-4,-2,-8
30,2,9,20,9,2,2,4
-1,7,5,3,-4,-5,-2,1
2,5,-1,-12,0,1,-1,3
-33,12,0,4,0,2,3,2
57,-23,1,-10,-3,-5,-3,1
-48,12,-4,-4,-4,-5,-9,-10
20,16,6,11,-5,-5,3,3
-33,-5,-16,-6,0,2,-4,-12
-11,15,5,-2,-5,-4,1,6
11,-23,-7,-9,-7,-6,-13,-2
37,-13,-7,-4,-4,-5,-9,0
32,3,10,0,1,2,9,20
-128,9,-2,1,-2,0,1,-19
-5,4,12,0,-4,-3,-3,-19
47,-2,-4,-3,-4,1,0,4
7,-9,-11,-6,-6,1,0,0
7,10,-1,-1,-4,-4,-2,5
