Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-10,-2,-1,-3,-4,-4,-6,-2
0,-22,-6,-7,-4,-4,-9,-6
5,8,-10,-9,-4,-2,10,4
13,12,-5,-13,-7,0,-8,-3
4,8,5,-1,-2,-1,-5,-2
-7,-18,-4,9,0,-2,-7,2
11,14,5,-8,0,0,11,16
-19,-19,-18,22,15,2,-4,-5
-16,-9,-11,-8,-9,-3,-15,-32
12,11,7,5,5,2,0,3
21,14,10,-5,-8,-6,6,16
-3,-17,-8,-2,-1,1,-1,-7
54,15,-7,-11,-9,0,0,10
-23,17,20,2,1,0,-4,-3
-22,-9,-4,-4,0,1,6,0
-1,-23,-26,1,3,-2,-9,-5
-52,-5,-5,-2,-2,-3,-9,-3
15,0,-8,-8,-6,-6,-5,3
17,-1,1,2,3,6,13,9
10,12,20,1,-7,-1,0,-4
-6,1,-16,-14,2,-2,0,21
-13,-5,-19,-7,-4,-3,-8,-5
-10,-4,-4,-8,-2,3,9,15
10,-3,-24,-16,-5,-1,7,5
-2,21,17,8,3,-3,-1,-4
13,-8,-14,-5,-2,0,3,5
-31,-1,10,-4,-7,-6,-5,-4
-12,-11,-3,-2,-5,-6,-12,-9
29,17,6,0,0,0,2,7
-65,3,6,-1,3,2,15,14
46,-4,-2,2,-7,-1,-2,-6
29,-12,-3,8,0,-5,-24,-12
-23,10,5,1,-6,-11,-18,-3
20,5,-11,-2,4,-3,-9,4
-40,-18,2,4,11,1,12,-8
-26,6,0,3,-4,2,2,-8
23,-13,3,-3,-1,3,3,9
20,14,30,9,-3,-4,0,1
-10,-5,-3,1,-5,-4,-2,-3
-3,6,0,1,0,-1,-1,-4
0,-7,-37,-23,2,1,-2,-6
9,6,-20,-12,-3,0,1,0
6,-1,39,14,-2,-2,-5,0
-8,-9,2,5,1,-1,1,-3
-22,6,-2,3,5,1,-5,-5
31,3,3,4,1,2,5,8
-18,15,-4,-4,-3,-6,-5,-3
-6,-8,-5,-4,3,-1,-2,6
-11,0,3,1,-4,0,2,7
3,-15,-9,-2,1,1,-1,-8
28,-22,-23,-14,-4,-2,5,16
-70,-1,1,2,-1,-3,2,-20
-35,12,2,23,10,7,5,-14
15,-23,-12,-5,7,1,-7,2
-9,-15,-42,-28,-11,-8,-8,0
19,13,9,-2,-5,1,8,10
33,5,3,9,6,-1,-12,-9
10,15,4,5,-4,-6,-14,-4
1,-3,4,-6,-3,0,-1,4
-5,5,5,0,0,1,15,21
24,8,-5,-4,-4,-2,1,-1
-34,-7,6,14,-2,-7,-14,-32
-10,-20,19,2,1,-1,-7,2
-3,1,-4,-21,-12,-5,0,-1
25,0,-30,5,9,2,1,0
2,1,3,21,-3,-2,-3,-1
-3,-3,-9,-9,6,1,0,1
-15,0,-6,-8,-6,0,3,-1
-9,-4,10,1,-3,-1,-1,0
39,3,-22,0,-6,-4,-6,-1
4,12,9,-2,2,0,1,1
8,-4,-12,-6,-4,-2,-7,8
17,-1,6,0,-3,-1,4,9
-7,-10,7,0,-6,-5,-10,-20
-45,-23,-4,-6,-6,-2,-4,-22
-2,-12,1,-1,1,2,-3,-9
-26,1,-14,-13,-6,-3,-16,-9
-61,-8,13,6,-3,-9,-17,-10
-3,-24,6,1,-3,-4,0,0
17,12,-6,4,-1,-1,6,8
43,6,-10,-24,-1,-3,6,5
3,-8,-8,1,10,6,11,18
4,7,5,10,-9,-5,-8,-18
-25,6,-5,-6,-6,0,3,-12
-18,-18,3,-6,-9,-7,-13,-11
-2,-16,-13,-9,1,-3,-8,-6
7,10,5,-4,-5,-3,-5,1
20,8,-14,-3,1,1,7,13
60,9,-2,-4,-11,-5,4,32
23,18,20,12,5,3,-2,-7
-98,-34,-12,-2,0,-1,-6,-43
10,-15,-7,-2,0,-5,-3,-4
-40,4,23,3,3,0,-6,-6
31,-10,-16,-10,-14,-9,-8,4
27,11,-9,-9,-5,-4,-1,4
13,14,12,-1,0,1,-1,2
-1,-7,-7,2,-1,-1,3,2
3,2,18,9,-3,-2,-1,3
20,-6,-39,-13,-3,1,-1,2
-6,-5,-16,-6,-2,-5,-1,-7
-35,25,20,8,1,1,2,-3
-22,-33,3,3,6,1,10,-1
65,-25,-44,-10,6,3,4,4
-3,9,3,-5,-5,-4,-24,-7
-24,2,13,3,-1,-3,-15,-12
6,3,5,-6,-5,-7,-9,2
21,1,4,23,-7,-6,1,5
9,18,-3,-15,-1,2,0,2
38,0,-6,-6,9,5,11,8
-95,-11,3,0,-1,4,4,-10
-27,-34,-13,-5,-11,-16,-27,-34
28,3,3,-4,-5,-4,-6,7
17,-18,-5,-3,-7,-2,-1,5
-25,-2,7,9,5,3,4,5
-3,2,-8,-8,1,2,19,11
-9,1,8,0,-1,4,-6,-8
51,10,7,-3,-2,-4,-16,-14
-4,16,-3,-6,-4,-1,-4,-1
