Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-3,-8,-16,-6,-4,0,-3,1
0,-10,2,-5,0,-3,-5,-4
3,34,5,-1,-4,0,0,2
4,-12,-9,-3,-5,-1,0,-1
-8,22,20,0,3,1,-1,-4
13,-7,-21,-1,-4,-2,0,-2
-9,8,18,22,10,1,-2,-1
2,-3,5,-6,-4,-2,-1,0
-4,-3,-1,-5,7,3,-2,-2
5,1,-9,3,3,0,1,4
-1,10,8,-8,-6,-5,0,-3
-7,-34,6,-1,-10,-5,-5,-6
10,-7,-16,-25,-20,-9,-5,1
1,-1,7,23,27,7,2,1
2,15,1,22,1,-3,-2,1
2,13,13,22,3,0,-3,-2
2,8,11,-12,8,2,-1,-1
3,-2,-28,-19,-1,3,-1,3
-4,-37,-10,-7,-15,-4,-4,-3
-2,14,0,3,1,-3,0,-3
-6,-12,-15,-12,-4,-2,1,-4
-1,4,17,8,-3,-4,0,-1
4,10,-11,0,-3,0,-2,2
-15,-31,1,0,-4,-5,0,-5
-4,8,17,10,5,-1,3,1
-3,17,-11,-6,-3,-4,-3,-3
-3,-16,-14,-13,-7,1,-3,-2
-4,-14,1,2,-5,1,0,-1
0,5,10,-6,-15,-7,-2,0
-6,-19,-15,16,24,6,0,-6
-7,-16,-12,-23,1,4,2,0
-5,-15,3,-1,-5,-6,-7,-7
-1,3,1,3,-13,-7,-1,-2
4,10,10,12,-12,-3,-1,3
1,-14,-19,-10,9,-1,0,0
-4,-4,-25,-26,1,0,-1,-2
-10,1,17,7,4,4,5,4
6,15,9,2,-2,-4,0,7
-2,5,1,0,-5,-4,-1,1
-1,-1,-1,3,11,4,0,-3
4,6,-18,1,-4,0,-2,-4
-6,-35,-5,-11,-1,2,1,-1
1,36,20,-11,-13,-6,-3,0
-7,-23,9,18,-1,-2,-4,-3
-5,12,6,-4,-3,-6,-10,-7
2,-4,5,-5,-8,-4,-3,1
3,10,2,2,3,1,-1,1
3,2,-6,-23,-8,-4,0,-1
-7,7,-2,9,17,6,0,-3
-18,-21,-4,2,-4,1,-3,-9
0,2,-1,-13,-8,-3,-1,2
6,-26,-13,3,0,-5,-4,-1
-4,12,15,-2,0,1,3,2
4,34,-9,-1,9,5,2,2
-6,-25,-10,1,2,-1,-1,-1
-8,-12,22,15,-2,-1,-5,-4
1,-37,-35,-8,-2,-1,1,1
2,14,3,-15,-3,3,-1,-4
6,21,3,-1,6,-2,-4,1
-6,13,-5,-4,-5,1,-1,-3
14,-7,-16,-4,-8,-5,-3,0
-15,-4,26,4,-3,-3,-3,-4
-5,-13,-11,3,-1,-2,-4,-5
-5,-30,-12,-9,-8,-1,0,1
4,-13,-11,11,14,0,-1,1
8,28,11,-11,-2,3,2,5
1,-11,5,-4,-3,-1,-1,0
6,33,11,3,0,0,1,2
2,-14,-15,-9,-13,-9,-8,-7
0,-12,10,1,-6,-7,1,4
-3,24,5,1,2,0,2,-5
-5,-28,-10,-9,-13,-5,-1,1
0,-6,-13,-3,0,4,-1,0
