Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-7,-10,-18,5,3,3,0,-1
-7,46,0,-54,-18,1,9,14
5,-73,9,33,26,28,5,-6
42,-102,44,30,8,6,12,26
-35,127,-97,-29,-36,-26,-43,-35
0,-55,-24,-21,0,-7,-4,-17
4,46,90,-4,-5,3,19,23
31,-104,-41,-3,2,7,1,-11
-29,-94,-57,-6,3,-2,-9,-6
3,-19,-4,-37,-28,-7,0,8
-2,-62,32,32,23,1,-7,-13
0,113,41,24,-12,10,14,9
-4,-16,-57,-31,-17,-19,-14,-9
-21,-81,32,6,36,-2,-5,-9
-1,28,45,35,-9,-15,5,6
10,118,-9,-24,67,7,-1,7
-6,-61,-23,36,-4,-7,-5,-19
45,127,48,33,-13,8,14,9
-10,-56,-23,-26,-11,-14,-18,-17
-9,49,-15,-24,-10,-3,-17,-17
-42,-54,-32,-33,2,2,-8,-2
-13,127,127,38,38,14,10,-8
33,-128,5,33,29,19,18,4
-46,-128,-101,-73,-49,-29,-30,26
31,127,81,24,67,7,35,-35
15,21,-7,-18,-16,-19,-8,14
8,35,-6,5,-42,-1,7,36
-14,6,41,-3,-6,8,4,-4
13,-69,30,54,127,42,17,17
-37,21,-59,-56,-78,-26,-25,-25
-2,-128,-71,-68,-21,-9,-9,-21
37,127,50,99,15,9,9,37
-23,-100,-40,3,-31,5,-9,-25
-5,-106,-82,-4,40,7,0,14
-7,-10,23,4,-21,-12,1,2
-36,-90,19,-78,-35,-25,-18,-14
-18,50,-68,-31,25,-1,7,6
26,-38,70,-21,-44,11,3,5
35,-97,29,1,4,11,11,61
-33,-128,-103,-22,-19,-30,-29,-32
-30,26,-43,-21,-21,2,2,3
38,62,20,30,-23,18,19,-1
-11,40,9,1,23,-10,-2,-1
-44,-128,19,-6,13,8,-3,-36
62,127,127,43,38,9,25,41
43,-98,-128,-4,-11,-27,-24,-1
-29,21,-2,-59,-128,-38,-21,-13
-13,-107,20,15,44,21,9,20
6,-7,40,127,127,33,7,-44
5,-40,-4,59,20,-3,-3,0
9,38,-24,-84,14,10,18,50
-1,-21,-13,-34,-55,-17,-8,-19
-3,-7,8,53,77,12,7,38
-10,-31,-49,-21,-14,-2,-7,-17
-1,84,125,45,111,4,6,-6
-20,-128,-97,2,-82,-14,-14,-27
-17,-29,97,-42,-85,-23,-10,3
42,85,17,-12,38,7,1,5
-15,-34,-128,-7,-39,-7,-7,-7
-29,127,83,12,80,1,4,-4
72,-128,74,6,97,40,26,41
-49,108,-128,-11,-46,-48,-45,-49
-6,15,-3,-44,0,0,0,3
-4,5,16,22,19,3,5,-1
-5,-13,-6,-22,-28,-6,-2,-1
-13,-122,4,-13,-11,0,-2,7
-36,30,47,48,36,11,6,4
43,58,96,30,27,8,6,-9
-32,5,-128,-52,-16,-30,-43,-42
25,33,32,0,-79,-3,6,19
-22,-30,-11,-7,-1,-7,-4,-12
-9,-9,12,-5,-9,-16,-3,2
-40,7,-9,6,24,19,4,-4
11,12,24,10,12,4,15,15
10,127,112,30,13,5,7,-19
28,55,3,-3,-40,-17,-4,57
-27,-11,-116,-80,33,-33,-37,-67
5,-21,-55,29,0,16,12,38
-13,-28,101,40,47,10,-1,-6
-7,35,80,69,42,12,8,6
23,127,92,-50,-48,3,-2,-12
55,-128,60,-66,-72,-8,-3,8
