Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
8,9,27,83,-56,34,34,18
-1,9,46,62,127,14,-7,3
-4,-5,1,-3,9,12,6,20
5,-17,-59,-38,-19,7,34,7
-1,13,12,-11,20,-11,-16,-8
13,-8,-15,-26,-35,-3,2,21
1,6,24,10,40,2,-5,-12
-7,-7,-49,-12,10,-15,-8,-19
5,-4,-5,81,-32,27,10,9
-8,-7,6,-61,-50,-18,-11,-13
-2,0,31,80,-89,-34,5,17
5,-6,-12,-3,44,-18,-6,32
9,14,43,-47,-16,2,-21,27
-10,-13,16,-26,2,-23,-32,-23
-3,-15,-14,61,54,60,23,-8
0,-4,8,7,30,-48,-26,-4
20,23,43,34,26,-15,6,47
-17,-28,12,-63,-42,-32,-61,-45
12,8,-22,-12,-54,-34,-16,18
-6,-12,-9,33,-103,18,16,1
25,14,-26,1,102,48,65,63
-17,10,104,6,25,-11,-21,-25
-13,10,127,-43,75,-25,-11,-10
15,27,59,44,-103,-30,14,18
-22,-11,-45,11,63,33,13,-40
3,-32,9,127,127,101,24,3
1,-8,-39,18,22,4,-8,-9
-6,1,-47,-104,46,-14,-28,-10
16,-14,-90,-59,-79,-55,-21,-2
5,-2,84,-7,-68,-10,-10,15
-9,-7,-67,-28,-72,-39,-28,-7
12,13,16,31,-19,47,38,22
-1,0,-43,-51,-28,-66,-24,19
3,6,46,-29,-44,-15,3,-12
10,-2,-42,22,29,64,42,14
1,9,98,11,5,6,26,14
5,27,78,127,52,67,27,-14
-2,-29,-93,-128,-2,-5,-23,-12
-15,-11,38,31,-64,-33,5,7
-13,-15,-22,-30,-61,-26,-27,-15
-8,-9,23,-94,-76,-18,-11,-17
12,-1,-24,37,51,12,14,16
-2,0,-21,-48,32,-29,-27,-15
2,4,1,21,-128,-33,4,5
4,-11,-34,-30,-21,-20,-12,-12
1,-7,-2,-9,-128,-13,-6,13
-2,6,-50,8,69,-2,-2,3
-4,-5,83,29,8,18,2,3
10,4,-21,12,6,0,-5,35
-21,-35,-2,-29,-26,-34,-45,-72
-8,12,-17,-81,8,-8,-9,-10
-1,-19,-86,-53,-32,-19,2,-1
-9,1,100,30,-22,-4,-7,-4
-10,-5,-12,14,-19,-37,1,-1
16,15,-9,89,127,124,54,31
9,-12,-96,81,-16,-15,-6,8
-5,9,64,-71,20,5,-13,-12
8,8,70,-49,-90,-22,-6,17
-11,0,-16,41,20,12,-5,-25
-6,8,18,-2,-36,10,7,-17
-12,-12,-35,-30,-111,-52,-29,-9
-16,1,-20,37,72,13,-10,-23
4,-1,35,-61,-50,-2,7,3
4,-3,11,31,39,14,3,7
