Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
12,7,90,3,-6,1,16,16
0,43,-128,-43,4,-10,-54,-15
-19,-21,30,-12,-17,-8,-26,-41
-5,-43,-58,-1,-9,-3,-9,1
6,-4,8,16,3,-1,-8,17
9,75,50,16,17,9,58,22
7,111,100,-4,-7,-2,6,-13
-1,-53,-128,-33,-16,-18,-110,-26
-13,-6,99,-17,-12,3,120,19
2,-39,60,30,7,3,41,10
-46,-41,-128,-10,-5,-8,-96,-47
6,19,81,-13,-1,5,13,-13
0,11,59,-8,-15,-10,50,14
2,-33,-4,47,5,2,50,3
-14,10,59,-2,-6,-6,-80,-27
6,-15,21,-62,-4,-9,-16,-7
11,-40,-128,1,-8,-1,2,7
-1,-32,58,-47,-3,0,-15,9
0,12,41,34,4,2,-20,7
-29,-26,9,35,-4,5,93,-2
16,90,1,17,17,4,23,6
5,-46,1,-40,-16,-3,-9,-4
-10,-50,-128,-24,-9,-10,-4,-1
4,-25,13,-23,-17,-8,2,-1
0,-58,49,-24,-4,-1,15,7
6,118,55,-6,0,4,-8,8
5,-26,66,13,7,7,5,1
-1,41,-50,-9,4,-4,-1,-5
-5,42,-55,-31,-10,-5,-7,-4
4,-72,75,-5,-14,0,25,19
9,-4,61,-13,-2,-2,11,14
-3,12,-9,-3,2,1,13,1
-7,-73,28,10,-4,-3,-20,-15
9,40,12,3,-7,-1,2,-1
8,-36,-24,-71,-20,-5,26,20
5,-8,-29,12,-1,-3,26,19
-8,-64,-31,-35,-9,-5,-1,0
-4,10,-30,3,-1,5,2,-9
0,9,-23,0,-3,-3,-18,-4
-4,29,50,16,-14,1,29,7
23,29,94,91,27,18,33,39
11,87,14,-22,14,0,26,-6
-2,41,13,-59,-11,-18,-96,-46
-14,-128,-128,-60,-24,-21,-120,-27
-8,-14,-2,-28,-3,4,-17,-4
9,29,10,-47,-11,1,4,8
9,1,4,50,10,3,2,10
5,-12,0,16,8,-2,-2,3
-7,-14,-72,-27,-15,-9,-4,1
3,-46,24,-49,-15,-4,5,5
-21,5,-71,2,-6,2,-4,-32
-7,22,14,5,10,4,-19,-23
10,26,13,-1,3,2,-40,5
4,0,-1,-3,-2,9,70,11
8,9,-6,-14,1,3,52,24
14,15,-13,26,3,-2,0,17
22,12,25,14,7,7,-20,15
-6,42,83,18,5,-1,-14,-22
-34,-128,-128,-39,-11,-12,-33,-16
-37,92,127,-10,-26,-16,22,-5
-7,20,-128,-28,-4,-9,-33,-15
-1,-11,-31,-53,-9,-8,-105,-41
-2,-77,102,88,-20,-8,49,-2
11,17,-24,26,47,8,6,11
3,39,-1,-25,-4,2,13,12
5,17,-84,-22,-7,3,4,5
0,31,20,-11,-20,0,3,3
0,-1,9,56,19,1,-18,-6
6,-17,-125,25,11,4,9,1
-15,-29,8,0,-3,-4,-23,-4
11,-3,45,-12,-11,-7,13,-4
-12,96,-128,-20,-10,-8,-10,-5
-10,2,-23,-22,-12,-4,25,-7
4,72,123,1,-3,1,-3,-2
-2,-86,36,-2,-6,2,2,5
3,2,-12,31,14,-1,-2,7
-1,38,-15,23,15,7,19,1
1,2,-14,-13,0,1,-17,-4
11,64,-8,-2,0,-1,-14,-4
8,-42,7,-15,-8,-13,-26,2
6,-5,27,22,4,1,-12,-8
-7,14,-13,-1,-8,-7,2,-6
-7,-31,-128,-33,-12,-7,-10,-10
-18,10,25,2,-20,-1,-11,-3
0,-16,-15,45,24,9,6,5
15,-11,87,9,7,3,77,17
-18,46,15,11,-4,-4,-1,7
1,23,127,-39,-12,-1,-7,-1
-19,-86,-78,25,-8,-4,16,-14
-6,-39,-88,-18,-2,2,-4,-8
-13,-20,41,14,-1,1,11,-1
-12,12,-128,-44,-14,-7,-24,-12
13,-48,74,5,-4,0,11,18
-2,32,47,14,-11,-3,15,0
-2,18,12,-21,12,-2,-15,-14
7,4,-5,-10,-2,-8,-36,-5
33,28,-8,-5,11,6,0,26
-16,-50,-36,4,2,0,15,-7
-9,-84,43,-35,-12,-6,1,-11
1,63,-5,68,6,4,12,-1
-17,-6,-75,0,-4,-10,-4,-20
2,6,25,-33,-17,-1,-44,-1
2,-52,41,13,7,3,-13,12
0,-31,-120,15,10,5,46,11
-1,-12,78,1,-12,3,64,6
12,-4,-37,-10,-5,-7,-35,5
17,11,-108,-14,-8,-2,4,23
-3,20,58,-10,-3,-5,-8,-14
-54,-31,-80,-3,4,-8,9,-62
-14,19,-119,-17,-8,-2,-29,-8
7,-4,62,-22,0,15,26,23
9,6,30,10,-2,-13,3,16
1,-58,82,9,0,-4,-31,-6
-9,26,-71,-11,-3,2,24,-19
-10,55,31,35,-2,-5,-17,-12
5,-37,-6,-33,-2,2,11,9
8,5,20,-43,-4,1,15,1
-10,1,11,51,-4,-6,-36,-12
11,-9,4,0,6,-1,8,14
5,-11,38,-32,-6,2,24,7
-4,14,62,-12,-14,-10,-65,-15
9,-74,-128,0,6,-8,8,20
-4,18,-6,3,1,-5,36,10
-35,87,-57,-24,-4,-3,-65,-35
-2,-26,50,14,-2,-10,-21,-33
-12,-5,103,-68,-1,1,0,-1
6,-16,-37,51,11,1,15,12
3,46,70,6,-1,0,-5,-5
5,23,-79,-4,1,4,-4,-3
-5,-60,-128,-29,-6,-2,5,-1
-7,9,-62,-13,-14,-7,3,-3
-3,-19,54,-16,4,-2,7,9
-5,33,9,28,4,0,-22,3
-6,-4,20,3,10,10,71,6
22,70,16,7,4,11,40,29
4,-128,-14,2,-5,-5,-37,-7
-9,5,127,-5,-4,-12,-40,-32
-27,-21,-31,2,-3,-14,-24,-51
-23,-46,-112,0,-13,-5,-2,-3
8,-18,33,-4,9,9,23,6
-4,20,20,28,14,5,-1,4
-8,-17,-1,-15,-7,3,-20,-4
9,44,18,5,4,7,42,16
8,-21,14,16,-10,1,15,3
-5,-21,10,6,18,-6,-48,-11
-12,-1,-128,-4,1,-2,-4,-4
-7,7,65,-5,-4,-4,-34,-1
6,36,89,-17,-10,-6,42,10
6,-89,-79,-17,-10,3,1,10
6,-10,17,-46,0,-2,2,6
-3,15,-77,40,-6,-3,71,-21
-1,19,52,0,18,8,-20,-1
10,-40,-85,-14,0,3,17,27
-4,-21,16,11,7,-4,26,-4
-19,11,-19,-25,-9,-13,-105,-51
-10,22,52,7,2,-4,-22,-12
-4,-6,30,-10,-4,-2,-17,-7
7,-71,-128,-53,-14,4,4,13
-1,106,127,40,-7,-3,31,7
-7,-119,-38,-45,7,2,-18,-3
13,52,-37,-12,-9,-7,-1,5
2,-59,3,11,2,0,-9,7
-13,24,102,6,8,5,4,1
-5,109,-88,13,2,7,88,3
-13,-34,-26,-26,-14,-3,-12,-16
-29,-23,49,62,-7,-14,-47,-21
4,10,-71,-35,10,4,-2,0
13,30,31,49,-1,5,16,7
24,18,17,3,24,12,-7,23
1,6,113,-6,-4,3,-10,-3
-7,-32,-85,-5,-1,-10,-47,-14
-12,-83,22,-7,-7,-7,-2,-22
2,-1,-1,-10,-7,0,14,0
1,127,127,-4,-5,1,14,7
11,-123,-106,-19,-1,6,-1,3
9,37,23,59,3,2,-11,6
-9,-43,-59,-1,2,-4,-2,1
-7,-29,-16,-25,6,-1,-10,-17
-3,-24,78,3,-8,-5,-29,-5
-5,0,-52,-3,-1,-4,-10,0
10,22,-4,11,3,-4,-39,-1
-7,-49,-80,-15,-11,-6,22,-1
-1,-6,24,-36,0,1,10,4
-2,8,90,-11,-5,10,15,1
14,97,86,31,17,4,28,27
3,-74,-109,-5,-2,-5,-4,3
-39,7,59,28,-5,-9,-40,-55
-9,-51,-128,-98,-17,-8,-75,-30
4,20,20,84,1,5,7,7
6,40,127,-16,24,8,-18,4
6,13,127,-36,5,-4,48,20
0,-21,-128,3,-9,2,91,14
2,-1,-45,-12,-3,-1,-15,-1
1,-50,97,2,-12,-7,-90,-26
-1,101,-29,-15,5,1,-7,1
2,-26,1,19,14,3,32,3
6,-5,9,-1,-4,2,16,24
15,28,-1,-53,-7,1,20,13
-2,12,44,43,-2,-2,12,-13
-6,-16,-27,-25,-13,-11,-76,-21
7,45,111,59,11,1,6,6
-21,-111,-128,-25,2,6,9,-8
-4,-14,-29,-21,-8,-8,-24,-8
3,74,78,-64,-12,1,-14,3
-6,-96,35,56,1,7,10,-7
2,-36,0,18,9,4,5,4
12,66,8,-3,-2,-5,-39,4
3,35,14,2,-6,-7,44,29
-1,13,-1,37,2,4,30,5
-3,4,-1,-51,-3,-2,-18,-27
-11,-22,-43,-10,-9,-10,-87,-46
-3,-25,-66,-4,2,0,-9,-3
6,5,3,-4,1,3,7,8
5,-39,8,-37,-9,-2,7,12
-1,-17,7,61,1,2,18,5
8,47,85,27,-8,0,10,8
1,-6,20,61,17,3,20,4
-17,-32,-28,-63,-12,-2,21,14
3,-52,-115,-39,-14,-9,-20,-17
-6,3,-37,-1,-16,-6,1,-10
-10,51,10,1,-8,-9,-29,-2
-8,34,103,-11,-4,1,28,-4
11,79,117,77,10,1,-47,-16
-3,-119,-16,73,19,0,2,-1
6,-86,-128,-60,-12,-2,11,10
-7,-67,29,-8,-4,0,17,5
-1,29,16,8,0,2,19,6
-1,61,85,0,-3,-7,-33,-16
11,18,-21,10,2,2,-32,8
10,1,18,-10,2,4,60,19
7,8,7,-11,-2,3,28,9
-34,-26,-14,8,1,-6,-59,-31
2,34,83,-4,-9,-4,-40,-10
-5,-6,-48,-27,-11,-11,14,13
28,19,6,79,5,5,47,36
-6,12,80,-2,9,7,-7,-18
-21,28,23,-28,13,6,5,-22
7,-16,-36,-5,-4,-4,-75,-32
-16,-10,46,-25,3,-9,-7,-5
-13,-49,40,-5,-14,-14,-67,-7
6,49,113,17,-4,7,-8,8
1,53,30,37,-2,0,87,15
14,-36,-128,-27,14,6,22,15
10,37,85,-8,-11,-4,-5,8
-6,-5,63,-20,-8,-2,0,4
-14,-19,-44,-8,-5,0,-17,-11
5,31,10,-4,-8,0,-30,-1
-7,39,35,16,16,5,119,-4
-9,-128,-71,14,-14,-15,-17,0
7,53,7,0,12,9,14,22
-4,71,-6,-32,3,-3,10,8
0,10,10,-19,-7,-5,-72,-47
12,10,91,22,-1,-1,-12,-21
-14,-51,-128,-24,-1,-6,-28,-18
-14,-42,107,-9,-8,-8,-18,-9
-1,-67,62,-1,-4,4,-17,19
5,11,34,-13,-8,-6,75,12
2,17,88,-27,-8,-1,25,4
-1,-33,-128,16,8,2,-5,6
-4,-2,-39,55,3,-1,-12,-4
-16,71,127,12,6,-7,-11,-15
2,-100,-128,-30,-9,-4,11,9
18,-10,18,-4,-5,-1,6,12
-1,-32,67,-29,5,6,7,-2
7,21,57,49,17,4,-34,-14
0,101,47,0,5,3,44,36
-9,-119,17,15,-4,-3,59,2
-33,-5,-101,-6,-13,-18,-128,-63
1,121,9,-20,5,5,-4,-10
7,38,61,27,1,2,18,8
5,29,126,-10,7,-11,-6,10
-7,-100,-128,-24,-20,-3,10,6
-2,18,116,8,13,-2,12,12
3,4,-27,-9,7,3,33,18
-6,-35,81,40,1,-3,0,-4
-18,29,25,8,-7,-8,-63,-22
4,19,25,12,1,-1,-3,0
0,16,53,-11,-7,-1,4,0
-14,-37,-35,-15,-9,-4,-23,-5
16,4,-31,11,3,7,-2,17
23,41,-17,-22,-1,1,100,34
-9,34,-46,48,4,5,16,-2
-17,-128,-63,6,-4,-8,-54,-39
-20,29,26,-16,-8,-13,6,-40
15,7,-7,-1,2,4,10,21
1,-13,8,-12,-5,0,14,6
1,15,11,15,-1,3,-43,-22
-4,-12,10,-5,-8,-12,-43,-15
7,-6,30,16,0,1,-4,10
7,-1,26,-19,-3,0,15,12
4,45,-26,1,-5,-3,26,9
-1,-60,31,6,-1,1,-1,1
2,-2,-93,19,-21,-1,11,0
-3,-45,34,30,12,-3,-5,-5
-12,-40,-64,-99,-8,-4,-26,-2
-15,-11,7,-1,-9,-5,0,-3
16,-39,9,116,11,-1,21,8
-42,127,41,10,1,2,5,0
7,59,-45,-28,-8,-1,3,-3
4,12,47,-10,-7,-4,36,4
-4,68,-80,-8,1,0,-61,-45
3,14,116,25,-5,-5,-61,-34
