Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
0,-2,-4,-8,-2,-1,-5,-4
-5,-5,-3,-6,-4,-6,-13,-12
-1,-3,-5,-8,-5,-2,-9,-5
5,-4,6,-4,2,6,-6,4
-5,-17,3,-9,-11,-8,-2,-1
20,11,-21,-7,4,-1,1,13
-23,-9,-11,7,3,-1,15,-4
-12,-3,7,0,-1,-5,-41,-26
10,6,5,-13,-5,1,-4,-7
5,5,6,-16,-15,-3,6,3
15,-1,18,13,-11,3,4,15
-10,-23,-27,46,27,-3,-43,-17
-6,-5,-26,-1,10,-3,-18,-9
-22,3,2,-12,-1,-2,2,-9
0,11,9,10,1,-5,-13,-9
-13,-4,24,23,-10,0,-9,-10
4,-1,27,-34,-19,-1,-6,-6
-29,-17,-71,8,35,0,2,4
-2,-5,-33,8,6,-2,0,7
7,0,-3,-4,-4,-1,-3,4
8,2,3,-7,-12,-4,6,4
8,5,13,-4,-5,-4,5,-1
-5,6,11,-3,0,2,-13,-8
-4,-3,6,22,-2,0,19,3
-3,0,3,-4,-2,-4,-1,2
-8,-1,-2,-4,-1,-4,0,-5
11,-3,4,-3,-2,-2,-3,-4
-15,-7,-7,-7,-2,-4,-27,-10
5,-14,-10,-1,4,7,36,11
12,17,1,5,5,-1,7,7
6,-5,-6,-2,4,3,20,2
16,22,7,-26,-3,-2,3,7
-8,-6,3,23,5,-1,-25,4
5,-6,-1,39,4,-3,-25,-9
-25,-1,5,-10,-5,-9,-22,-12
-6,-6,0,-1,-2,7,17,6
-10,-5,-17,-16,-7,5,23,9
1,-5,0,-9,-4,-6,-26,-3
-44,-20,-5,-15,-4,-1,3,-10
3,-7,10,22,-8,-2,-6,-11
10,6,7,-1,-1,-2,2,-2
14,-1,-15,-18,1,4,4,8
5,7,-15,-25,-6,-2,6,1
-17,-6,-12,12,9,-3,-23,-4
6,12,14,17,3,3,2,-5
0,-12,7,-5,-3,-6,-11,-4
10,-1,-33,-27,-7,-9,-14,3
-23,4,17,-14,-9,-3,3,-5
-5,0,14,14,-2,-1,5,0
-12,-26,-26,10,18,4,3,-11
13,33,-10,6,8,2,2,5
-2,3,-1,-19,-2,3,6,4
12,7,12,-19,-8,-2,12,8
