Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-7,18,127,-17,-18,-10,4,-4
1,24,21,-13,-5,-8,13,-8
29,-25,-65,45,1,15,1,36
-5,36,111,27,22,8,11,13
-41,-60,-128,-29,-5,-2,-12,-64
-7,-18,7,-23,-8,-4,-25,-28
19,0,47,9,7,2,-16,16
9,30,-14,10,-1,3,20,10
-19,12,-40,0,-3,-7,-28,5
13,-11,-113,3,1,5,70,35
-21,-94,-128,-22,3,-10,2,-9
-5,13,89,-14,-11,0,-128,-26
-32,-39,127,-6,-13,-10,4,-7
-9,-19,50,-8,-12,-9,-52,-32
-39,-8,-3,6,3,-3,-41,-37
4,19,-5,-9,-4,-9,-16,8
18,6,-32,13,-13,8,31,31
7,4,-56,47,28,14,25,21
28,12,-44,17,1,4,12,11
-3,24,14,20,-9,-17,-38,-54
-43,-20,-100,-23,7,-19,-119,-39
14,24,41,-4,3,18,73,7
-13,-29,49,-1,2,-7,-14,-9
15,25,127,6,-11,-8,-10,-10
-24,25,63,19,12,0,-20,-3
-16,-55,-128,-49,-9,-9,-44,-15
-28,-52,-128,-33,-15,-10,-105,-30
-8,40,127,26,-3,-20,65,-28
3,18,65,35,4,2,-1,8
0,-15,-128,-5,10,6,22,31
24,-25,-49,-30,-11,2,8,22
-56,-45,-80,-13,-13,-9,-22,-25
-8,22,120,12,-3,-5,-19,-32
-9,15,-15,7,-8,-8,19,-18
11,6,-69,-17,0,4,-28,0
10,-5,-66,5,-7,1,9,7
26,22,-10,22,5,-4,-21,-1
-29,-50,-128,-29,-18,-17,55,-33
-9,6,-19,12,3,3,1,3
-6,-11,57,1,2,4,-2,-4
24,57,95,-14,-7,12,18,15
11,-27,-15,0,6,10,29,32
-21,-48,-128,-80,-14,-15,27,-8
-43,2,127,31,-16,-26,-128,-77
-2,-21,15,-6,-4,-2,-15,-14
-7,-9,-50,-11,-9,-5,11,2
0,2,78,-31,-11,-4,-4,3
13,46,-22,35,-3,4,20,17
11,3,-22,-14,-1,-5,20,11
-2,-12,3,61,12,-1,-68,-17
-33,-20,113,7,5,13,26,-9
4,30,4,1,-2,6,-51,-14
7,6,-59,12,3,-4,-4,8
2,-1,-47,-11,2,-1,44,-4
19,16,86,-21,-18,-16,-12,13
2,33,78,36,10,5,19,7
-21,-48,-128,-36,-6,-5,-54,-19
-26,-62,22,-46,-17,-1,-8,-23
0,15,127,0,-7,-43,-16,1
19,37,105,-76,-11,3,-74,19
23,14,6,77,10,4,95,10
-1,4,-66,-8,10,-2,1,-7
-29,10,-128,0,8,5,-15,-9
18,7,59,-25,-4,-1,-10,15
-8,-26,50,-29,-10,-8,6,-7
-14,9,-39,-31,-11,-14,-52,-19
-9,13,54,25,-4,2,12,2
32,18,127,-11,3,3,48,11
11,39,94,26,1,-1,-27,7
-11,28,-63,16,3,-5,-18,0
-22,-100,34,-53,-22,-2,-11,-3
-11,11,127,-1,-4,-14,-11,-7
-4,-16,11,-24,-8,1,62,12
9,23,21,-28,-14,1,24,37
50,55,30,85,32,16,33,18
-6,27,77,6,9,-6,-10,-53
-57,-85,-128,-5,-12,-23,-81,-50
-47,-57,98,-54,-22,2,26,-8
8,14,54,-1,-4,8,-26,4
19,35,86,3,6,6,9,24
1,1,-79,12,-8,-9,43,5
25,29,55,6,-1,-3,11,19
36,19,-21,31,11,2,-65,9
-24,-58,-128,-26,-7,0,76,-3
-4,-3,127,-1,-5,5,0,18
-6,2,-27,-1,-2,-11,0,-8
0,17,19,13,-13,2,-12,-23
3,9,51,-24,-2,4,-7,-6
5,39,53,77,23,3,17,14
-10,-74,-128,-82,-6,-3,3,-1
-1,-29,40,-29,-39,-15,-45,-19
-15,-14,27,28,24,5,15,2
-4,13,77,21,9,5,14,21
14,35,68,38,-3,6,24,17
33,7,72,13,18,1,-6,-12
-20,12,32,-9,-2,2,-21,-28
4,26,-9,-9,-4,-10,-6,0
-22,-55,-128,-40,-10,-3,15,3
13,-29,-7,7,-13,-1,-11,26
3,9,-12,-7,5,2,60,11
-12,13,57,25,1,0,8,-5
-25,6,-41,6,1,-11,-24,-21
-11,-10,9,3,-4,12,-8,-33
3,-15,77,-13,2,-2,-38,-2
-1,-9,46,-17,-7,-3,12,14
21,42,127,31,4,-9,14,30
2,5,-128,6,7,28,11,-4
-10,-31,127,-46,-14,-8,-7,-5
-23,-29,127,-10,-17,-12,-25,-15
23,26,127,34,13,4,93,6
-29,15,14,3,9,-9,16,-12
-30,-25,-89,-77,-28,-10,-76,-23
37,56,70,-17,-13,7,55,14
31,3,-37,66,41,4,22,14
8,-36,-53,30,3,-4,-43,-2
-22,-60,-8,3,-1,-4,-9,-6
-26,4,-10,-13,-10,1,-6,0
9,-3,68,10,4,-2,30,3
8,36,18,10,-3,-1,10,0
3,8,-128,13,3,-4,-50,-21
-3,-21,12,-6,3,-6,-15,-6
3,1,0,-4,-3,2,6,9
9,-23,-128,-45,-14,1,6,17
5,9,40,57,9,3,67,11
-6,10,71,19,14,-14,-20,-9
-14,-41,-110,-12,-6,-1,-29,-23
-27,-8,11,9,1,-1,34,-9
-5,6,79,-3,-1,3,0,-14
3,11,127,-42,-13,12,-60,-8
-2,6,26,45,1,22,17,18
11,-13,-57,-20,-13,-13,22,18
-6,35,69,14,4,9,34,6
16,-15,-128,30,15,0,-23,-16
12,15,98,-22,-11,-15,-77,-34
-24,-31,73,-21,-6,1,-2,8
-6,-7,-61,-5,-5,-8,14,0
0,20,69,-36,-8,7,13,1
5,14,20,35,-2,5,-24,-4
8,7,-29,11,21,4,107,23
-9,13,9,-8,-2,-1,-44,-14
21,34,14,6,-6,-3,-76,-27
-10,28,127,-2,16,-12,-15,-6
0,-54,-128,-37,-13,-1,14,3
-4,20,53,31,4,5,-49,19
-23,-78,-79,-65,-18,-6,78,-2
18,-20,-128,-21,-15,-3,-64,-11
-37,-78,11,-19,-8,-13,91,-23
-19,31,127,-20,-20,-14,-44,-11
29,35,61,50,8,7,5,21
3,22,2,47,22,0,-15,-11
14,25,-2,-56,-1,12,-14,3
27,16,-1,52,-1,-13,41,42
-3,-6,-44,-1,24,2,-34,-17
-46,-10,-27,-13,-7,-16,-128,-69
2,0,11,-6,-8,-8,1,-19
-10,1,31,-20,-11,5,127,11
5,14,-89,3,-9,6,-28,34
49,7,-55,15,-5,-11,98,22
12,-61,127,-29,-14,-5,-8,5
-34,13,-42,-23,12,-3,-79,-37
-43,-28,-128,-26,-12,0,-92,-15
17,13,102,-6,-11,2,55,30
20,42,24,26,-2,-10,127,21
-8,-17,-25,48,19,2,-19,-17
19,-47,-128,-42,-20,-22,-51,-18
-20,-5,-104,-9,-12,-3,-25,-8
1,-9,-13,2,-1,-2,0,-1
9,11,22,0,2,3,-24,16
9,27,53,-86,-19,8,89,18
28,49,-44,127,32,12,40,33
3,-66,-128,-50,23,9,29,-17
-43,-55,97,-53,-26,-17,-128,-69
-23,-24,72,-6,-38,-19,-18,-20
5,11,95,4,-21,-6,5,10
23,24,4,-1,30,10,21,24
7,46,-13,61,19,4,21,14
18,41,12,26,9,7,-10,9
8,-37,59,-19,-2,3,6,4
-25,-56,-128,-60,-30,-20,-16,-14
-15,-2,95,-1,-19,-17,-8,-10
2,-20,-128,-31,6,6,11,0
6,1,22,3,1,11,8,-2
-12,14,36,-10,-3,-3,-42,-2
16,15,19,30,5,7,39,28
15,12,-24,3,-1,-20,17,17
13,13,54,13,-6,32,-68,0
-8,-21,-127,-32,-8,-14,-29,-60
-1,-25,-86,22,-14,-9,19,-17
9,-7,39,-47,-9,-1,22,38
-1,30,58,21,4,10,28,9
-20,-9,2,18,25,-4,-85,-34
1,15,6,-68,-17,-6,-124,-2
11,29,66,125,15,1,82,14
-8,-57,107,-53,-1,1,37,-17
-13,-14,-43,-25,-11,-9,-82,-47
-8,-43,73,-14,-8,-1,4,10
13,53,10,2,-5,1,17,21
12,39,120,16,-2,-1,30,15
-7,38,127,57,12,4,-43,-21
-14,-28,-20,-29,2,-12,-77,-68
-14,-121,-128,-55,-6,-7,-3,-32
-3,23,82,-60,-5,0,-29,23
30,58,127,69,-7,8,110,104
10,-2,127,39,21,12,81,43
-8,-26,-128,-7,21,-7,-64,-65
-40,-86,-128,-39,-26,-57,-108,-111
-17,21,127,-7,-20,-11,17,-22
7,26,73,10,2,4,-3,23
17,17,-5,5,4,18,42,27
39,90,105,32,12,-27,24,38
-9,47,-13,23,1,19,47,22
-20,-71,-128,-40,-10,2,0,11
-19,4,127,-55,-15,-13,-20,-13
17,-25,20,-12,-18,-25,-128,-18
-36,-21,29,12,-3,-15,127,-7
19,85,127,41,15,-14,-35,31
25,3,-48,21,10,52,-45,-8
36,-7,-128,-27,-6,-12,-104,-12
-48,-50,-89,-13,-17,-15,-47,-9
-57,-70,127,-40,-26,-17,-21,-12
-13,-17,-73,-16,-14,-9,-4,-5
11,32,7,-19,0,1,8,1
21,45,90,83,4,11,20,16
13,2,-77,31,34,-3,31,19
11,-13,23,-4,1,-2,39,17
1,25,68,-16,2,2,-38,-10
9,37,42,3,-4,-4,0,-16
10,10,53,-2,-13,-5,-25,-7
-37,12,127,-17,-5,8,34,8
31,-19,-128,-26,-12,3,15,4
10,-49,-128,17,27,-11,-41,-35
-6,-44,11,-28,-6,-15,-81,-27
-42,-11,127,-8,-8,-8,48,-8
-6,-1,-36,-72,-22,0,2,15
20,21,32,81,-6,-6,26,27
8,1,-36,-57,20,9,33,5
-8,27,127,7,-6,3,-17,-14
-13,-10,-128,8,4,-16,5,-13
-3,9,65,-27,-33,15,-13,1
-5,-23,127,62,12,-8,4,3
-4,-4,-4,-22,4,2,9,23
26,39,36,16,4,-12,-10,42
18,68,127,9,12,29,79,-5
16,9,-128,6,-6,8,66,-19
-25,-70,-96,-58,-24,14,83,2
-31,-9,120,-2,-3,-4,-21,-23
-16,24,123,-20,-3,-5,-54,-34
23,57,98,37,-1,3,3,12
20,65,-62,30,46,8,22,6
-19,-29,-111,6,0,-4,-48,6
-7,-20,7,-41,-13,-9,-56,-3
0,-21,102,2,-4,-12,56,-12
-13,9,-25,1,-9,-7,-10,-1
6,34,127,22,-23,-1,3,17
9,-30,-128,74,40,-3,-1,-5
-3,-16,73,-39,-1,0,-79,-26
-11,-24,-12,-38,-12,-8,-1,-4
5,6,34,33,4,9,39,10
-8,16,-16,6,-10,-15,-23,-6
14,9,17,-5,5,5,86,-3
-31,16,5,-13,-5,15,-128,16
25,-7,-23,28,2,0,127,27
51,16,-128,-31,-12,-22,-127,-55
-90,-50,-78,12,-6,-4,-92,-67
-44,-7,5,-3,9,-3,-3,-9
13,29,119,16,-2,7,11,16
13,3,-128,-23,-8,-1,12,17
2,-88,-128,-80,-22,-8,11,8
3,-3,127,2,-9,1,27,17
14,27,82,52,21,-2,-21,-4
3,12,-15,55,-12,-9,-35,0
30,34,127,-58,6,8,28,60
-2,6,88,-8,6,30,19,4
13,13,-1,-24,-7,6,29,-41
-6,55,127,28,-13,-10,27,-11
-49,-128,-128,-56,-13,-23,-63,-64
-26,-24,127,-6,-19,-13,-42,-39
-8,-18,127,35,6,2,1,9
17,28,29,-7,2,9,11,18
23,51,35,30,6,6,40,29
14,53,127,32,17,-1,28,19
