Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-8,1,7,-1,-4,-2,-4,-3
9,17,16,-11,-2,0,7,9
14,7,-6,7,-7,-4,19,11
10,5,53,1,3,4,-4,2
-9,-11,-44,-1,0,-11,1,-1
-44,0,-114,7,12,9,9,1
11,-22,-71,-20,-3,3,8,6
31,-4,127,-3,-16,-18,-16,-10
-43,4,84,3,-3,-9,-10,-16
12,29,-11,6,4,0,-11,5
-9,-48,-34,-24,-13,10,9,18
41,30,127,6,1,7,44,28
-49,-26,3,-4,-7,-3,-2,-13
22,-1,-10,5,0,1,5,2
-3,8,91,-4,3,1,3,-3
8,18,-74,-8,1,-5,-1,5
-11,25,83,0,-14,-14,0,-8
9,-23,105,6,-6,-6,-19,-8
2,-35,-111,-2,8,1,1,9
-16,-7,-17,20,8,7,10,6
24,32,40,-15,-6,-2,0,-2
2,9,33,-1,2,-1,-42,-15
17,51,86,-5,-1,3,25,17
-18,-42,-81,-24,-14,-12,1,-13
13,8,40,7,-3,-7,-31,-8
-6,-53,-128,-34,0,3,-15,-9
1,22,76,22,8,5,-1,-1
26,62,89,30,13,6,-5,9
-4,14,-30,3,5,4,6,-3
5,-1,-14,-8,-4,1,-8,-3
8,23,40,14,-6,-6,-1,1
9,-20,-112,23,7,1,1,-1
3,8,23,-2,2,-13,-13,4
18,18,53,-4,-6,6,10,8
-30,-62,-128,-19,-5,12,12,12
-9,0,48,-17,-7,-13,1,-5
-40,1,7,1,2,2,7,-11
3,7,29,-7,3,-1,8,16
8,8,-56,-1,0,13,16,8
-6,-16,16,-4,-3,-3,22,14
4,24,37,0,0,-7,-22,-21
-8,25,127,-10,-5,-11,-33,-22
-3,-33,-128,9,-7,-12,-19,-18
3,-65,-9,-7,1,1,10,1
14,16,34,-9,-6,-4,-6,1
-9,15,-37,-1,-6,-1,8,3
-3,3,122,-3,-2,-4,-1,5
8,21,91,14,5,4,22,23
9,4,-115,7,8,7,20,14
-36,-73,-128,-26,-17,-15,-35,-46
-76,-5,-6,-1,-2,-2,27,14
6,27,75,5,-3,-7,-14,-15
-6,-25,-1,-6,-2,-1,-7,-13
-12,-4,28,-10,-14,-12,-31,-17
14,16,6,-29,-2,1,-5,11
24,10,-10,11,-3,-12,-3,5
51,44,89,15,10,10,24,39
-44,-109,-128,-12,5,8,33,8
-7,-1,-9,-4,2,-1,14,-15
-9,36,88,8,-2,-6,-67,-51
-14,-47,-61,-43,-16,-7,-7,-10
7,-14,-96,-15,-8,0,-3,-2
16,-6,-31,9,-1,2,4,6
21,10,58,7,5,-3,-2,8
-52,46,70,24,17,7,4,-2
1,-28,-10,-13,-3,0,1,-4
34,29,74,-8,3,7,15,27
-20,-6,-128,-3,-3,-11,7,-2
25,-53,-33,8,-5,-12,-19,-14
-54,-9,23,-9,-10,-16,-11,-10
20,1,25,13,5,3,6,14
24,13,-24,2,1,15,13,3
-5,19,-28,4,-8,-8,-22,-14
-13,42,90,-27,-6,-6,-12,-6
0,-12,27,40,0,-4,16,15
-6,-10,-22,-4,-3,-8,-31,2
16,9,17,-7,-4,-4,0,-11
-3,5,41,-4,0,-2,5,-13
19,31,8,5,4,9,0,3
7,7,115,4,3,1,18,19
-15,-35,-88,-8,-10,-4,12,-2
-11,-1,-15,-10,-5,-1,-15,-22
0,11,84,0,2,-7,-32,-11
6,14,-82,1,2,6,13,26
40,-11,-38,25,5,3,44,34
13,45,119,-2,-1,5,1,-16
-27,-115,-128,-25,1,7,-71,-42
-84,-19,127,-15,-22,-13,-31,-38
-10,10,3,5,-5,-10,-2,-1
28,23,37,0,-1,1,12,16
9,15,-35,-1,0,-6,12,19
14,21,7,6,1,1,12,15
-13,71,11,1,-1,3,16,7
-14,-128,-128,-15,7,-1,-7,-13
-1,15,127,-7,-9,-12,-4,-18
-1,-5,-34,13,2,-1,-14,-3
11,25,14,3,4,6,-5,-3
0,12,-41,-1,-5,-8,0,3
14,0,13,0,6,-5,13,9
32,75,49,27,7,3,15,10
-27,-128,-128,-52,-12,9,-7,-9
19,-22,59,-1,-13,-9,-16,-5
-37,-24,-8,35,0,-11,-10,-9
-15,3,-22,0,1,-2,0,-5
18,11,-11,-7,1,4,9,19
13,12,-10,16,8,6,25,21
6,50,123,16,10,3,18,2
31,-30,-128,-15,-2,-17,-51,-23
-37,-45,-17,-19,-19,0,-19,-20
-5,-1,17,-3,0,14,-4,-5
-36,22,74,2,-1,-6,4,2
18,-12,-41,-1,-7,-9,25,18
2,-31,87,-9,-7,-5,17,0
-17,13,56,2,2,0,-22,-19
43,21,-30,-2,-2,-1,-17,7
-16,-22,5,-12,-8,-17,-5,9
25,4,-21,-7,-2,3,4,23
-13,6,0,-1,-4,11,-13,-12
-24,15,66,18,9,7,34,-15
-12,-39,-80,1,7,-5,-18,-6
-10,-15,-53,-10,-16,-10,-17,-6
-22,-2,3,-9,-15,-9,0,1
4,10,58,-1,-4,-1,30,12
-11,3,-58,5,8,4,4,-1
11,8,-37,2,8,9,-17,8
4,33,51,-2,-1,-2,-25,-16
5,-5,127,3,-6,-5,2,2
2,-46,-128,10,-3,-8,2,-2
11,3,45,0,-3,-4,-8,6
-21,6,-2,-19,-8,-2,14,2
17,22,17,11,4,17,-10,-1
15,15,-17,8,3,3,0,4
-26,20,28,-2,1,-1,12,6
-4,-79,-44,-36,-18,-17,-10,-17
-11,-14,58,-15,-12,-12,-9,-13
-22,13,2,-11,-8,-1,0,1
15,18,5,6,3,3,9,12
-5,16,2,23,6,3,2,20
34,-11,-33,0,2,-1,-3,-21
3,11,62,1,1,-4,15,-13
-32,-13,-128,-8,-7,-8,-14,-10
-13,-19,19,-6,-2,-3,-28,-23
-4,1,14,-3,1,-6,-49,-11
6,31,25,6,1,1,12,15
15,8,92,-10,-2,4,-6,7
-8,-44,44,-18,-14,-10,-3,-13
13,1,-34,-21,-15,-12,0,-3
9,17,-12,13,1,0,9,11
4,-4,-33,17,27,18,15,5
21,1,-8,-15,-3,-4,1,4
-23,10,-41,17,-4,-3,-2,-6
-10,-3,42,2,6,0,-3,9
45,-11,-59,-10,4,8,4,27
-35,-9,97,-9,-3,2,13,-6
-9,-48,-72,-8,-16,-20,4,-28
-34,-1,-64,-11,-7,2,-62,-35
30,-37,-112,-18,0,3,-3,7
-25,16,112,1,-4,-4,3,-1
23,8,-62,-2,2,5,8,19
9,-9,3,-1,2,6,17,20
0,5,-26,3,1,-1,23,6
-37,-13,38,-6,-1,-4,-32,-14
5,30,8,-2,-2,-9,-19,-11
-23,-58,-108,-26,-7,0,11,9
27,57,99,20,2,5,19,1
20,-83,-128,-11,-1,-2,-30,-13
15,-10,127,-20,-12,-13,-14,0
-22,-13,-7,-18,-16,-8,-6,-8
-14,15,13,1,-4,-2,10,2
4,15,-32,9,17,10,19,14
0,27,-12,12,6,3,3,-1
-24,-25,98,-24,-3,-1,-6,-10
1,2,13,0,-13,-10,-17,-28
22,41,117,2,1,1,13,28
9,-12,-128,-24,1,9,41,15
-13,-7,-34,10,4,4,-5,-14
-33,-64,-86,-29,-11,-10,-75,-42
4,7,43,5,-5,-12,-2,6
14,1,-18,-4,-7,-12,13,-7
-27,-11,-6,-3,-3,11,-32,-23
24,25,-12,3,0,-2,2,7
6,-8,-39,1,-2,-1,10,10
26,-2,112,7,-1,-2,6,17
-45,10,24,-16,-5,-2,1,0
-1,-9,37,10,5,1,22,16
34,11,-16,5,-2,-2,-7,8
