Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-4,2,0,-1,-4,-5,1,-2
-4,-5,2,6,0,-2,3,2
-2,-1,16,9,-5,-21,-16,-1
-1,1,2,4,4,-10,0,12
-3,2,-7,-23,30,14,3,-17
-1,0,-12,-14,-1,-6,2,-7
4,7,40,127,38,15,-1,10
1,0,-4,-16,-15,-2,20,14
-5,-6,-4,-27,-18,-13,-17,-8
-2,-4,-12,-26,-13,-2,-3,62
1,5,10,16,42,-4,-10,-50
-9,-1,-5,-11,-5,2,5,-23
0,0,-6,-3,18,-22,-1,9
2,2,-6,-31,-128,10,-60,-12
-4,-4,-9,-6,-5,-9,-6,-6
-4,-2,-12,-8,-8,-7,4,3
-7,-3,-7,-7,-24,-8,-5,-1
-4,-5,-4,1,-14,-8,-15,-3
5,10,-8,-5,-1,6,-1,5
2,-4,-5,13,4,1,15,4
-12,-29,1,5,9,2,16,0
2,5,9,9,-1,-1,-2,15
-4,-3,-12,6,2,0,-9,-36
-1,2,16,9,-3,-4,-8,4
-2,-9,-11,-7,99,20,-53,20
10,3,-7,-26,-71,18,97,-33
-2,-3,1,6,-86,-42,28,19
0,4,2,12,67,31,-20,-55
-22,-5,-16,-43,-28,26,-29,-24
4,0,4,5,8,36,-7,20
-2,-8,-19,-44,-26,3,-9,-2
3,4,30,114,14,1,0,11
-3,-5,-13,-15,-15,-6,-4,2
-6,-5,-13,-52,-20,-16,-9,-4
-7,-7,-9,-12,-18,-20,-10,-6
-7,-5,-7,-13,-31,8,0,-4
7,4,6,8,72,32,26,10
4,13,9,-10,10,-5,-12,-5
-7,-7,-37,-24,-31,17,3,-2
4,2,-17,-1,17,3,6,4
-4,-6,11,-23,-105,8,2,0
-3,6,15,9,-16,-10,-8,-6
1,12,5,-2,-12,-12,-6,0
-11,-12,3,-6,-2,-1,-6,-4
-2,0,14,1,11,1,-2,-3
4,3,-14,1,2,1,1,2
-2,-2,-2,-10,-31,-5,3,-1
-3,-4,-13,-16,7,-2,-10,-3
-2,0,14,21,6,-5,-5,-4
0,-1,1,-7,-14,-16,-7,-1
0,1,-13,-29,-12,12,-4,-3
-1,1,47,98,12,5,-1,1
-10,-26,59,-3,-17,1,0,-1
5,7,6,39,26,0,1,5
5,4,-29,-43,-54,-3,10,7
-5,-8,25,-33,-30,0,-4,-4
-1,-4,61,94,13,13,-1,1
-5,-6,-33,-18,-9,-22,-9,-7
0,-2,-59,-32,1,1,-5,-2
-7,-10,-28,-39,-14,5,-4,-5
-7,-5,25,14,0,-3,1,-4
-2,-3,1,-9,-6,-3,-2,-5
-1,5,-10,3,-3,-7,-6,-5
-3,-1,-14,-19,-20,-2,-1,2
2,6,19,21,44,4,2,-1
1,0,-8,7,8,-19,-1,-1
-2,-4,-4,2,12,-1,-3,-2
2,0,-7,-17,-8,-5,-5,-2
-6,-9,-20,-25,-7,-6,-5,-3
0,7,15,22,11,6,4,3
0,3,24,18,5,-3,-4,-3
3,0,-7,-7,0,-5,-4,0
-1,5,8,3,-13,-7,-6,-4
-1,-4,-4,3,6,-1,-6,-3
-5,-7,-7,-11,-33,-10,-3,-5
-1,0,-5,-9,3,10,18,3
1,3,-1,3,5,0,-1,-1
-6,-13,-1,-8,2,-10,-12,-23
-4,2,2,2,-5,-12,-14,-8
-7,-18,-34,-12,-21,-3,4,3
6,-6,-8,-1,4,13,24,28
3,1,1,-23,-16,15,7,3
-5,2,10,18,-5,-4,-9,-10
2,11,7,19,-7,-15,-12,-5
0,2,-10,-16,-8,-6,-10,-7
-7,-11,-18,-14,-3,25,5,-3
-3,-13,-3,-19,-28,-2,-1,-4
-1,-3,6,40,106,-2,0,-2
-4,6,3,-6,-73,-6,-3,-4
7,12,18,12,-9,-5,0,2
0,0,9,5,-5,7,2,-1
-7,-7,-20,-22,-8,-11,-5,-3
-5,-7,-5,1,-28,12,-4,-3
-2,-7,-13,4,-13,-6,-5,-3
-4,-5,-1,-8,-5,0,-3,-2
0,-1,-12,-48,-4,-4,-2,-2
-3,-7,-2,11,6,9,3,-3
-4,-1,9,4,4,3,1,-4
-3,-4,-3,-6,-2,-2,-1,1
3,2,-14,-54,-26,-2,3,0
2,-2,-1,43,-3,-10,-5,-1
-2,0,6,5,9,2,1,-3
-2,-5,-20,-52,-10,-2,-1,-2
0,4,64,103,2,2,1,-1
-6,-7,4,22,-9,-4,-3,-3
-3,-5,-16,12,1,-5,-2,-7
6,8,-10,-30,9,8,5,3
-9,-16,-42,-110,-35,-18,-11,-7
-6,-4,-41,-98,-12,-3,-5,-8
22,42,99,127,80,34,17,17
0,3,8,38,10,5,0,0
-6,-7,-15,-36,-15,-9,-3,-2
-7,-9,-9,7,-14,-10,-4,-4
