Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
3,2,12,8,16,6,1,8
-2,3,-12,-3,7,8,30,20
3,-2,-20,-9,-5,-10,-4,9
-2,-4,7,2,-4,9,-2,-2
-2,-6,-13,1,5,-4,-16,-14
-6,-4,-24,-6,16,-15,-4,-4
7,6,5,-8,-12,-1,5,11
-4,0,41,8,-2,-9,16,-5
2,1,-20,-4,-12,-9,-17,3
3,-2,7,-15,3,1,2,-1
-5,-2,17,23,-4,8,3,-8
-2,-9,-23,14,43,4,12,-2
-5,-5,-7,-8,-20,-9,-14,-7
1,7,23,50,122,-11,-5,-4
-3,-5,-12,-15,8,7,4,1
-2,-6,18,9,49,-7,-1,-4
-1,-5,23,7,-1,9,2,-1
-4,-14,-44,-8,-5,-13,-3,-4
0,3,-3,2,-4,-10,-15,-1
-1,0,-7,-10,-18,-6,-15,-12
-5,2,1,5,6,3,2,-4
0,3,-18,-17,-7,7,2,-4
-5,-10,-18,-17,-23,-7,-17,-17
4,1,7,5,20,5,23,15
2,4,5,14,9,-1,-7,0
2,4,9,6,42,-4,5,3
-9,-13,-13,-20,-66,6,-3,-3
0,-3,-12,-2,-23,3,-4,-2
-2,2,19,3,-11,-10,-9,-4
1,4,18,6,-8,3,-7,-8
-1,4,-25,-13,-6,8,10,-2
-5,-7,-10,-12,9,5,-7,3
-3,-8,16,6,-2,-3,4,1
4,6,-6,6,16,1,-11,3
-4,-14,-20,-17,1,-7,8,-2
-5,3,39,26,0,-1,1,-5
4,4,1,-1,-12,-4,-7,7
2,6,-4,-4,-4,-10,-19,-15
-2,1,2,-2,-6,-2,2,2
5,-2,-46,-22,5,10,10,21
-8,-12,-20,-29,-14,-5,-6,-11
2,8,43,35,6,-2,-1,4
-1,9,16,5,-10,-2,-3,-8
2,5,-14,-15,-25,-15,-10,-6
-4,-11,-39,-18,-20,-2,-4,-7
-7,-7,18,5,0,-2,-3,-8
1,-1,-1,8,-12,1,-10,4
-3,-9,-20,-17,-12,4,14,-3
-4,6,34,29,19,-1,9,1
-11,-9,-28,-16,4,0,3,-9
4,-11,-22,-26,-15,-4,-5,9
2,10,28,28,9,1,-13,0
-1,7,21,10,-10,-9,-14,-10
3,2,-8,-10,1,5,20,10
-6,-11,-35,-12,18,-35,-18,-2
-14,-17,-26,-12,-35,12,0,-20
-1,4,6,3,-15,-11,-9,-9
11,8,30,12,5,0,7,39
1,-9,-12,-2,11,17,4,2
-7,0,-13,-11,43,2,-13,-10
-3,-6,9,3,-50,-14,-9,-5
0,-1,-10,-1,6,-6,3,-3
0,3,17,3,-6,0,8,1
-5,-4,0,-6,-8,-4,-1,-4
0,-2,-15,-12,-4,-6,-9,-1
-1,-4,-27,-7,23,5,9,-2
-7,-5,13,6,38,2,-15,-7
6,17,52,23,-13,-5,-21,-18
-2,-3,8,6,11,12,10,-4
-1,-8,-48,-23,-28,-14,-9,18
-1,-2,-27,-11,18,-8,-7,2
-9,-13,3,-11,-3,-8,5,4
-8,3,33,10,0,25,-3,-2
4,5,-15,-3,-10,-1,-1,-5
0,5,-21,-13,-13,-27,-8,-7
-4,-8,-3,11,25,12,-4,-9
2,11,22,14,-4,0,-11,-11
3,0,6,4,7,0,-2,3
1,-5,-21,-18,-13,4,0,10
4,-1,-17,-18,-2,-4,31,8
-6,2,10,16,7,-2,-6,-8
1,1,28,13,-3,-7,-12,0
-4,-3,-19,-6,-1,-5,-2,-8
3,-4,-20,-17,-12,0,-11,6
-4,5,18,16,11,1,-11,-10
1,-2,-28,-9,-7,3,29,7
-3,3,-4,-14,-7,-4,-7,-3
-6,-12,24,-28,-67,17,-29,-16
-4,2,17,15,-28,4,38,3
4,-3,-12,-5,-8,-5,-2,11
1,3,3,-6,-6,-6,-1,-4
