Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
8,4,-4,-14,6,11,-7,-5
-3,-13,-43,2,10,6,-4,-2
0,2,26,5,-7,-6,-7,-6
3,-2,28,24,14,0,-3,-4
-5,-4,-5,-24,-24,-10,-1,-2
1,2,-10,-15,-82,-3,1,-3
3,6,-31,-12,-26,-7,-11,-5
-4,1,-21,-17,-10,-4,-8,-7
-5,-7,56,24,22,32,12,0
7,9,15,9,5,7,8,7
-10,-8,-20,-6,7,-24,-10,-5
5,4,0,4,6,9,10,8
-1,-1,-14,-6,8,-6,0,2
-6,-8,-31,-1,-33,-11,-8,-8
-4,-1,0,-10,-12,-4,-4,-8
-2,2,5,10,52,-2,1,0
-6,-6,-39,-13,-23,-12,-12,-9
0,1,2,4,54,-1,-2,-6
-2,2,8,1,14,25,7,1
1,4,16,-1,-2,20,0,-2
5,4,-9,2,29,-2,5,9
0,3,-9,-12,-26,-15,-4,-5
-6,-4,-1,-2,-3,-13,-4,-4
7,6,3,8,-3,5,-3,2
0,2,43,15,-1,0,9,-1
4,2,3,6,6,-2,-2,4
-7,-4,3,2,5,-13,-26,-5
-7,-13,-37,-12,46,1,12,-6
1,-8,-12,-9,-12,1,0,4
-7,-5,7,-6,-47,-9,-10,-6
4,-1,-32,-1,5,20,33,14
-6,-1,55,20,-24,-7,-12,-5
-2,-5,4,-1,-1,-9,-6,-6
0,3,-57,-21,7,17,5,11
5,-1,10,27,36,0,17,15
-2,-3,-7,-8,-8,-16,-12,-5
-3,-1,-22,-16,-30,-7,-10,-6
-14,-17,-6,-10,6,-30,-20,-18
-5,-5,2,1,-3,-4,1,-4
7,5,53,8,9,7,6,17
-7,5,1,5,-25,-21,-17,-12
-4,-9,-39,-13,-3,-2,8,-3
6,8,-10,-11,-30,-6,2,8
-2,7,-14,-33,-17,-12,-5,-3
2,3,18,7,-28,9,-5,-5
-2,-4,25,16,21,5,-2,-3
-2,-5,-32,-16,-14,8,-6,7
-3,1,23,11,11,5,30,7
-2,2,7,4,15,0,-7,-9
9,-2,-18,-10,-42,1,7,18
-4,-8,-6,-5,-17,-13,-5,-5
0,-2,-7,-2,2,2,-1,-2
-1,1,-14,-6,-3,-5,2,1
0,3,15,3,2,4,6,0
-2,-5,-4,-1,-4,-7,-7,-5
1,1,-6,-3,3,2,-11,0
1,-5,16,6,-6,-4,13,-2
2,11,13,2,71,6,3,4
-4,-1,-11,-14,-90,3,-8,-7
10,4,-39,15,13,12,6,7
-3,-3,3,-9,1,-9,0,2
0,-1,35,15,-1,5,3,-3
3,2,-45,-6,21,2,1,-2
-6,0,0,2,-9,-10,-4,-9
-1,2,74,35,9,-1,-4,-6
-1,-4,-8,-10,-8,-3,-3,0
0,8,-14,-20,-19,17,-4,-1
-5,-11,-16,-13,-15,-11,-6,0
-14,-23,-27,13,50,-3,-1,-6
5,3,-32,-7,-1,4,7,7
-5,0,-31,-16,4,-12,1,-6
-2,6,28,-6,-17,-4,-2,-6
-6,-17,27,21,15,-9,1,0
-1,1,-35,-37,-35,9,-3,0
1,3,12,9,23,3,-6,5
-7,-5,0,-3,-23,4,-9,-4
2,3,-28,-13,-3,2,30,10
-2,-1,1,-5,-18,-20,-17,-8
-3,-9,-2,5,1,-7,-2,5
-2,3,14,6,62,20,-1,-8
7,16,37,46,29,9,4,6
14,15,-16,-10,7,1,-3,16
0,1,-21,-15,-2,-8,27,7
-9,-22,4,23,4,0,-17,5
-10,1,19,1,-7,-21,-35,-16
7,8,-3,0,22,23,49,5
-3,1,-14,-8,-16,-6,2,6
-4,-7,-5,-11,-5,-8,-10,-5
-3,-3,3,1,-7,-11,-9,-8
3,-3,-11,-3,4,12,3,2
-3,-4,-9,-5,-8,-4,-4,-3
-3,1,8,0,-8,-1,-5,-9
-2,-1,1,-1,-2,-4,-4,-3
-2,-2,-9,1,1,1,-1,-4
-2,-3,-25,-7,-3,-2,-1,-3
3,11,-9,-18,-20,3,2,1
-7,-9,69,18,-10,-3,-5,-3
-5,-7,-59,-15,11,-9,-5,-2
-8,-17,19,-7,-29,-10,-5,-10
4,9,27,41,127,1,2,-2
-10,-15,-20,0,-16,-11,0,1
-1,1,-4,-3,-24,-5,-11,-7
-1,-3,-11,0,9,17,1,-5
1,6,-3,1,25,20,4,3
-11,-5,-28,-30,-27,-34,-16,-9
-23,-32,-16,-2,-2,-20,2,-18
-1,-1,-27,-14,-9,-13,-18,-16
11,19,32,4,-2,8,8,8
0,-12,7,8,5,6,12,12
-5,-6,61,56,73,-20,-1,3
3,4,-15,25,111,-14,-9,-8
-12,-11,-14,-10,-37,2,2,-7
-13,-4,-16,-13,-11,-20,-10,-14
1,2,-10,-12,-7,0,2,2
-4,-5,3,1,8,-2,-6,-2
-4,-1,-7,2,38,4,14,-9
-6,-5,-6,-16,-29,1,-7,-6
